address,price,beds,baths,sqft
"601-161 Roehampton Avenue, Toronto, ON",599000,1+1 bed,1 bath,600-699 sqft
"709-10 Inn On The Park Drive, Toronto, ON",1998000,3 bed,2 bath,1600-1799 sqft
"616-68 Grangeway Avenue, Toronto, ON",499000,1 bed,1 bath,600-699 sqft
"102-4569 Kingston Road, Toronto, ON",599000,1+1 bed,2 bath,600-699 sqft
"2804-224 King Street W, Toronto, ON",1119000,2 bed,2 bath,900-999 sqft
"1904-105 The Queensway N/a, Toronto, ON",479999,1+1 bed,1 bath,500-599 sqft
"22 Vange Crescent, Toronto, ON",897000,3+4 bed,3 bath,1100-1500 sqft
"27 Massie Street, Toronto, ON",998000,3+2 bed,4 bath,1500-2000 sqft
"31 Hatherton Crescent, Toronto, ON",1774900,4+1 bed,4 bath,1500-2000 sqft
"1810-10 Muirhead Road, Toronto, ON",499000,2+1 bed,2 bath,1000-1199 sqft
"1603-330 Dixon Road, Toronto, ON",375000,1 bed,1 bath,700-799 sqft
"315-222 Finch Avenue W, Toronto, ON",599999,2+1 bed,2 bath,800-899 sqft
"1617-88 Corporate Drive, Toronto, ON",658000,2+1 bed,2 bath,1000-1199 sqft
"1212-475 The West Mall N/a, Toronto, ON",665000,3+1 bed,2 bath,1200-1399 sqft
"1901-20 Olive Avenue, Toronto, ON",575000,1+1 bed,1 bath,600-699 sqft
"501-96 Fifeshire Road, Toronto, ON",950000,2 bed,2 bath,1400-1599 sqft
"17 Duncannon Drive, Toronto, ON",2395000,5+1 bed,5 bath,2500-3000 sqft
"402-4 Elsinore Path, Toronto, ON",469900,2 bed,1 bath,700-799 sqft
"323 Melrose Avenue, Toronto, ON",3655000,4 bed,5 bath,2000-2500 sqft
"406-25 Stafford Street, Toronto, ON",549900,1 bed,1 bath,0-499 sqft
"29 Whitehall Road, Toronto, ON",3980000,7+3 bed,5 bath,3500-5000 sqft
"63 Collingdale Road, Toronto, ON",1699000,4+1 bed,4 bath,2500-3000 sqft
"4706-45 Charles Street E, Toronto, ON",399000,1 bed,1 bath,500-599 sqft
"4205-38 Widmer Street, Toronto, ON",910000,2 bed,2 bath,600-699 sqft
"112 Blantyre Avenue, Toronto, ON",2988000,4+1 bed,5 bath,2500-3000 sqft
"577 Rustic Road, Toronto, ON",1499000,4 bed,4 bath,2000-2500 sqft
"800 Lawrence Avenue W, Toronto, ON",38888,– bed,– bath,0-499 sqft
"420 Hillsdale Avenue E, Toronto, ON",,— bed,— bath,— sqft
"2507-1 Pemberton Avenue, Toronto, ON",729000,2+1 bed,2 bath,900-999 sqft
"2308-426 University Avenue, Toronto, ON",699000,2 bed,1 bath,700-799 sqft
"2811-85 Queens Wharf Road, Toronto, ON",509000,1 bed,1 bath,500-599 sqft
"205-8 Telegram Mews, Toronto, ON",488000,1+1 bed,1 bath,500-599 sqft
"2721-230 Simcoe Street, Toronto, ON",509000,1 bed,1 bath,0-499 sqft
"425-1005 King Street W, Toronto, ON",,— bed,— bath,— sqft
"372 Old Yonge Street, Toronto, ON",8990000,8 bed,8 bath,5000 + sqft
"24 Phenix Drive, Toronto, ON",849000,2+1 bed,2 bath,700-1100 sqft
"7 Welbrooke Place, Toronto, ON",1998000,3+1 bed,4 bath,1500-2000 sqft
"53 Beechborough Avenue, Toronto, ON",950000,4+1 bed,2 bath,1100-1500 sqft
"37 Broadbridge Drive, Toronto, ON",1349000,5+1 bed,4 bath,2500-3000 sqft
"229-701 Sheppard Avenue W, Toronto, ON",478000,1+1 bed,1 bath,600-699 sqft
"1414-103 The Queensway N/a, Toronto, ON",739000,2 bed,2 bath,900-999 sqft
"1818-181 Village Green Square, Toronto, ON",549900,2 bed,1 bath,600-699 sqft
"618-11 William Carson Crescent, Toronto, ON",899800,2 bed,2 bath,1000-1199 sqft
"479 Ridelle Avenue, Toronto, ON",1199900,2+1 bed,2 bath,700-1100 sqft
"60 Murrie Street, Toronto, ON",1699500,4+2 bed,3 bath,1500-2000 sqft
"101 Pindar Crescent, Toronto, ON",988000,3 bed,2 bath,1100-1500 sqft
"7 Montvale Drive E, Toronto, ON",,— bed,— bath,— sqft
"192 Wilfred Avenue, Toronto, ON",2488000,4+1 bed,6 bath,3000-3500 sqft
"82 Chestnut Park Road, Toronto, ON",14250000,4+1 bed,6 bath,5000 + sqft
"2006-25 Broadway Avenue, Toronto, ON",599900,1+1 bed,1 bath,700-799 sqft
"206-1 Rainsford Road, Toronto, ON",2228000,3 bed,4 bath,2250-2499 sqft
"2003-115 Mcmahon Drive, Toronto, ON",739000,2 bed,2 bath,700-799 sqft
"3805-311 Bay Street, Toronto, ON",2875000,2 bed,3 bath,2000-2249 sqft
"640 Winona Drive, Toronto, ON",1288000,3+1 bed,2 bath,700-1100 sqft
"195 Islington Avenue, Toronto, ON",699000,2+1 bed,2 bath,< 700 sqft
"34 Fenley Drive, Toronto, ON",1199900,3+2 bed,2 bath,1100-1500 sqft
"504-50 Lynn Williams Street, Toronto, ON",639000,1+1 bed,1 bath,600-699 sqft
"906-131 Torresdale Avenue S, Toronto, ON",949000,4 bed,2 bath,1600-1799 sqft
"629 Shaw Street, Toronto, ON",1825000,3 bed,4 bath,1500-2000 sqft
"1715-60 Heintzman Street, Toronto, ON",769900,2 bed,2 bath,800-899 sqft
"708-270 Dufferin Street W, Toronto, ON",695000,2 bed,2 bath,600-699 sqft
"514-10 Dean Park Road, Toronto, ON",485000,1+1 bed,1 bath,900-999 sqft
"409-33 Elmhurst Avenue, Toronto, ON",949000,2 bed,2 bath,1400-1599 sqft
"49 Brookfield Street, Toronto, ON",3195000,4 bed,5 bath,2500-3000 sqft
"1337 Lansdowne Avenue, Toronto, ON",,— bed,— bath,— sqft
"112 Mason Boulevard, Toronto, ON",3499990,3+1 bed,4 bath,1500-2000 sqft
"111 Boston Avenue, Toronto, ON",,— bed,— bath,— sqft
"PH201-770 Bay Street, Toronto, ON",949000,2 bed,2 bath,800-899 sqft
"317-1401 O'connor Drive, Toronto, ON",549888,1+1 bed,2 bath,600-699 sqft
"126-2351 Kennedy Road, Toronto, ON",499000,2+1 bed,2 bath,800-899 sqft
"43 Viella Street, Toronto, ON",1200000,2+2 bed,4 bath,1500-2000 sqft
"22 Marrakesh Drive, Toronto, ON",799000,3+1 bed,4 bath,1100-1500 sqft
"254 Hastings Avenue, Toronto, ON",1777000,3 bed,4 bath,1500-2000 sqft
"50 Curran Hall Crescent, Toronto, ON",889900,3+1 bed,4 bath,1500-2000 sqft
"11 Dornfell Street, Toronto, ON",2988000,4+3 bed,6 bath,3500-5000 sqft
"2610-36 Lee Centre Drive, Toronto, ON",538888,2 bed,2 bath,800-899 sqft
"4309-65 St Mary Street, Toronto, ON",1029900,2 bed,2 bath,800-899 sqft
"2214-50 Dunfield Avenue, Toronto, ON",579900,1+1 bed,2 bath,600-699 sqft
"1031-60 Princess Street, Toronto, ON",565000,1+1 bed,1 bath,500-599 sqft
"188 Island Road, Toronto, ON",949000,3 bed,2 bath,1100-1500 sqft
"971 Royal York Road, Toronto, ON",2999000,3+1 bed,4 bath,1500-2000 sqft
"4704-1080 Bay Street W, Toronto, ON",599000,– bed,1 bath,0-499 sqft
"43-286 Sprucewood Court, Toronto, ON",849000,3+1 bed,2 bath,1200-1399 sqft
"2805-11 Wellesley Street W, Toronto, ON",1168000,3 bed,2 bath,800-899 sqft
"1009-1103 Leslie Street, Toronto, ON",539888,1+1 bed,1 bath,600-699 sqft
"1613-2083 Lake Shore Boulevard W, Toronto, ON",624900,1+1 bed,1 bath,600-699 sqft
"317-68 Abell Street, Toronto, ON",490000,1+1 bed,1 bath,500-599 sqft
"1705-235 Grandravine Drive, Toronto, ON",379000,2 bed,1 bath,800-899 sqft
"PH03-260 Seneca Hill Drive, Toronto, ON",569900,2 bed,1 bath,900-999 sqft
"1619 Weston Road, Toronto, ON",1599000,– bed,3 bath,
"1619 Weston Road, Toronto, ON",1599000,– bed,3 bath,
"206-11 Charlotte Street, Toronto, ON",539900,1 bed,1 bath,0-499 sqft
"319-25 Greenview Avenue, Toronto, ON",850000,2+1 bed,2 bath,1000-1199 sqft
"200 Sudbury Street, Toronto, ON",1995000,2 bed,2 bath,
"130 Jay Street, Toronto, ON",1098888,4+1 bed,2 bath,1100-1500 sqft
"29 Clipper Road, Toronto, ON",1249900,3+2 bed,3 bath,1100-1500 sqft
"215-35 Ormskirk Avenue, Toronto, ON",797800,3+1 bed,1 bath,1000-1199 sqft
"713-10 Northtown Way, Toronto, ON",599000,1+1 bed,1 bath,600-699 sqft
"7 Norway Avenue, Toronto, ON",1079000,2+1 bed,2 bath,700-1100 sqft
"125-4005 Don Mills Road, Toronto, ON",679800,2+2 bed,2 bath,1200-1399 sqft
"514 Adelaide Street W, Toronto, ON",1949000,5 bed,2 bath,1500-2000 sqft
"237-390 Hopewell Avenue, Toronto, ON",779000,2 bed,2 bath,1000-1199 sqft
"28 Munford Crescent, Toronto, ON",1349000,4 bed,3 bath,1500-2000 sqft
"GV 124-17 Barberry Place, Toronto, ON",645900,1+1 bed,1 bath,600-699 sqft
"36 Waterbeach Crescent, Toronto, ON",999000,3+3 bed,3 bath,1100-1500 sqft
"4802-70 Annie Craig Drive, Toronto, ON",699000,1+1 bed,2 bath,600-699 sqft
"709-65 Annie Craig Drive, Toronto, ON",1580000,2 bed,2 bath,1000-1199 sqft
"422 Hounslow Avenue, Toronto, ON",3799000,4+2 bed,7 bath,3500-5000 sqft
"17 Brookridge Drive, Toronto, ON",1095000,4+3 bed,2 bath,1100-1500 sqft
"102-384 Yonge Street, Toronto, ON",95000,– bed,– bath,
"5504-180 University Avenue, Toronto, ON",2850000,2+1 bed,3 bath,1800-1999 sqft
"52 Drysdale Crescent, Toronto, ON",1339000,3 bed,2 bath,1100-1500 sqft
"111-384 Yonge Street, Toronto, ON",95000,– bed,– bath,
"2A Midburn Avenue, Toronto, ON",995000,3 bed,2 bath,700-1100 sqft
"805-435 Richmond Street W, Toronto, ON",638000,2 bed,2 bath,600-699 sqft
"1805-99 John Street, Toronto, ON",749900,1+1 bed,1 bath,600-699 sqft
"89 Concord Avenue, Toronto, ON",1688000,4+1 bed,4 bath,2000-2500 sqft
"16 Clayland Drive, Toronto, ON",1649000,4+3 bed,5 bath,2000-2500 sqft
"369 Assiniboine Road, Toronto, ON",1639900,10+4 bed,11 bath,2500-3000 sqft
"302 Johnston Avenue, Toronto, ON",3188000,4+1 bed,6 bath,3000-3500 sqft
"371 Crawford Street, Toronto, ON",1499000,6+1 bed,4 bath,2000-2500 sqft
"1308-150 Fairview Mall Drive, Toronto, ON",648500,2 bed,2 bath,800-899 sqft
"313-2 Fieldway Road, Toronto, ON",490000,1 bed,1 bath,500-599 sqft
"1510-151 Village Green Square, Toronto, ON",399900,1 bed,1 bath,500-599 sqft
"PH 18-8 Mondeo Drive, Toronto, ON",449000,1 bed,1 bath,600-699 sqft
"2017-5 Sheppard Avenue E, Toronto, ON",936000,2 bed,2 bath,800-899 sqft
"5208-501 Yonge Street, Toronto, ON",575000,1+1 bed,1 bath,0-499 sqft
"3301-488 University Avenue, Toronto, ON",849900,2 bed,2 bath,600-699 sqft
"708-39 Annie Craig Drive, Toronto, ON",581999,1 bed,1 bath,0-499 sqft
"2102-1815 Yonge Street, Toronto, ON",1233000,2 bed,2 bath,1000-1199 sqft
"1702-335 Mill Road, Toronto, ON",350000,1 bed,1 bath,700-799 sqft
"1616-20 Edward Street, Toronto, ON",759000,2 bed,2 bath,600-699 sqft
"71A Montezuma Trail, Toronto, ON",888000,3+1 bed,4 bath,1500-2000 sqft
"2210-225 Village Green Square, Toronto, ON",549999,1+1 bed,2 bath,700-799 sqft
"813-101 Charles Street E, Toronto, ON",728800,1+1 bed,2 bath,700-799 sqft
"314-11753 Sheppard Avenue E, Toronto, ON",499900,1+1 bed,1 bath,900-999 sqft
"106-18 Pemberton Avenue, Toronto, ON",518000,2 bed,2 bath,900-999 sqft
"606-25 Four Winds Drive, Toronto, ON",498800,2 bed,1 bath,900-999 sqft
"12 Eldorado Court, Toronto, ON",1599000,6+2 bed,4 bath,2000-2500 sqft
"2205-219 Fort York Boulevard, Toronto, ON",729000,1+1 bed,1 bath,700-799 sqft
"14 Athletic Ave Avenue, Toronto, ON",1100000,3+1 bed,2 bath,700-1100 sqft
"207 Ellerslie Avenue, Toronto, ON",4699000,4+1 bed,6 bath,3500-5000 sqft
"2405-3303 Don Mills Road, Toronto, ON",609800,2 bed,2 bath,1200-1399 sqft
"225-9 Mabelle Avenue, Toronto, ON",399900,1+1 bed,1 bath,500-599 sqft
"1106-859 The Queensway N/a, Toronto, ON",,— bed,— bath,— sqft
"25-22 Exchequer Place, Toronto, ON",985000,3+1 bed,3 bath,1600-1799 sqft
"1206-725 Don Mills Road, Toronto, ON",419000,2 bed,1 bath,900-999 sqft
"56 Forty First Street, Toronto, ON",899900,4 bed,2 bath,1500-2000 sqft
"330-7 Golden Lion Heights, Toronto, ON",586000,1 bed,1 bath,600-699 sqft
"4403-42 Charles Street, Toronto, ON",,— bed,— bath,— sqft
"119-51 Halton Street, Toronto, ON",1249900,3 bed,3 bath,1600-1799 sqft
"603-250 Manitoba Street, Toronto, ON",734000,1+1 bed,2 bath,900-999 sqft
"20 Cleethorpes Boulevard, Toronto, ON",1495000,4+1 bed,3 bath,1500-2000 sqft
"203-7 Lorraine Drive, Toronto, ON",658000,3 bed,2 bath,900-999 sqft
"420-77 Maitland Place, Toronto, ON",650000,2 bed,2 bath,800-899 sqft
"172 Briar Hill Avenue, Toronto, ON",1995000,3 bed,3 bath,1500-2000 sqft
"6 Vaudeville Drive, Toronto, ON",1699991,4+1 bed,4 bath,3000-3500 sqft
"307-68 Abell Street, Toronto, ON",695000,1+1 bed,1 bath,600-699 sqft
"2515-15 Northtown Way, Toronto, ON",589000,1+1 bed,2 bath,700-799 sqft
"554 Sentinel Road, Toronto, ON",899000,4+3 bed,4 bath,2000-2500 sqft
"2707-28 Freeland Street, Toronto, ON",788000,2 bed,1 bath,700-799 sqft
"925-10 Capreol Court, Toronto, ON",559000,1+1 bed,1 bath,600-699 sqft
"3062 Bayview Avenue, Toronto, ON",1749999,3 bed,4 bath,1100-1500 sqft
"208-5 Defries Street N, Toronto, ON",598900,1+1 bed,1 bath,600-699 sqft
"105-1 Benvenuto Place, Toronto, ON",699000,1 bed,1 bath,700-799 sqft
"43 King Edward Avenue, Toronto, ON",1158000,2 bed,2 bath,1100-1500 sqft
"16 Inglewood Drive, Toronto, ON",3395000,4+1 bed,4 bath,2500-3000 sqft
"41 Ann Arbour Road, Toronto, ON",1399999,4+2 bed,5 bath,2000-2500 sqft
"200 Seaton Street, Toronto, ON",1880000,3 bed,3 bath,2500-3000 sqft
"1611 Bloor Street W, Toronto, ON",1799000,– bed,2 bath,31-50 Years Old
"916-80 Grandravine Drive, Toronto, ON",520000,3 bed,1 bath,1000-1199 sqft
"6303-55 Cooper Street, Toronto, ON",699000,1+1 bed,1 bath,600-699 sqft
"606-525 Wilson Avenue, Toronto, ON",555000,1+1 bed,1 bath,600-699 sqft
"1709-55 Ontario Street, Toronto, ON",619900,1+1 bed,1 bath,600-699 sqft
"517-39 Kimbercroft Court, Toronto, ON",,— bed,— bath,— sqft
"1611 Bloor Street W, Toronto, ON",1799000,– bed,2 bath,31-50 Years Old
"211-205 Frederick Street, Toronto, ON",519000,1 bed,1 bath,600-699 sqft
"LRG 7-7 Lorraine Drive, Toronto, ON",1399000,2+1 bed,3 bath,1400-1599 sqft
"93 Amberjack Boulevard, Toronto, ON",1179800,3+1 bed,3 bath,1100-1500 sqft
"32 Columbus Avenue, Toronto, ON",1098000,2+1 bed,2 bath,700-1100 sqft
"37 Rainbow Creekway N/a, Toronto, ON",1599000,3+1 bed,4 bath,2750-2999 sqft
"1005-71 Simcoe Street, Toronto, ON",590000,1+1 bed,1 bath,800-899 sqft
"905-720 Spadina Avenue, Toronto, ON",350000,– bed,1 bath,0-499 sqft
"2021-165 Legion Road N, Toronto, ON",499000,1+1 bed,1 bath,600-699 sqft
"42 Normandy Boulevard, Toronto, ON",1298000,2+1 bed,2 bath,1100-1500 sqft
"201-181 Huron Street, Toronto, ON",778000,2 bed,2 bath,600-699 sqft
"707-260 Scarlett Road, Toronto, ON",529900,1 bed,1 bath,700-799 sqft
"148 Balsam Avenue, Toronto, ON",4479000,4+2 bed,4 bath,2500-3000 sqft
"47 Rayside Drive, Toronto, ON",1275000,3+2 bed,2 bath,1100-1500 sqft
"61 Hurlingham Crescent, Toronto, ON",1988000,3+1 bed,2 bath,1500-2000 sqft
"61 Sellers Avenue, Toronto, ON",1619900,3 bed,2 bath,1100-1500 sqft
"107 SE-60 Princess Street, Toronto, ON",1359990,4+1 bed,3 bath,1400-1599 sqft
"106 Willow Avenue, Toronto, ON",1499000,3+1 bed,3 bath,1100-1500 sqft
"56 Thirty Third Street, Toronto, ON",1999999,5 bed,3 bath,2000-2500 sqft
"61 Shoredale Drive, Toronto, ON",1099000,3+3 bed,4 bath,1500-2000 sqft
"50B Laburnham Avenue, Toronto, ON",1788000,4+2 bed,4 bath,1500-2000 sqft
"14 Penhale Drive, Toronto, ON",5288000,4+1 bed,5 bath,3500-5000 sqft
"3704-38 Grenville Street, Toronto, ON",1029000,2 bed,2 bath,900-999 sqft
"105 SE-60 Princess Street, Toronto, ON",1209990,3+1 bed,3 bath,1200-1399 sqft
"236-165 Cherokee Boulevard N, Toronto, ON",689000,4 bed,2 bath,1000-1199 sqft
"68 August Avenue, Toronto, ON",849900,3 bed,2 bath,1100-1500 sqft
"4 Maydolph Road, Toronto, ON",2629000,4+1 bed,4 bath,2500-3000 sqft
"54 Homedale Drive, Toronto, ON",799000,4+1 bed,3 bath,2000-2500 sqft
"204-39 Sherbourne Street, Toronto, ON",619000,1+1 bed,1 bath,700-799 sqft
"7 Purchase Place, Toronto, ON",1100000,3 bed,3 bath,1500-2000 sqft
"9 Granard Boulevard, Toronto, ON",1100000,3 bed,2 bath,700-1100 sqft
"2007-20 Edward Street, Toronto, ON",898000,2 bed,2 bath,700-799 sqft
"20 Wynnecastle Road, Toronto, ON",,— bed,— bath,— sqft
"6 Kingsdown Drive, Toronto, ON",899000,3+1 bed,2 bath,1500-2000 sqft
"613-195 Mccaul Street, Toronto, ON",579900,1+1 bed,1 bath,500-599 sqft
"832-251 Jarvis A Street, Toronto, ON",359000,1 bed,1 bath,0-499 sqft
"136 Santa Barbara Road, Toronto, ON",2280000,3+1 bed,4 bath,1500-2000 sqft
"1107-5 Soudan Avenue, Toronto, ON",849000,2 bed,2 bath,800-899 sqft
"1106-350 Alton Towers Circle, Toronto, ON",575000,2+1 bed,2 bath,1000-1199 sqft
"2310-135 East Liberty Street, Toronto, ON",699900,1 bed,1 bath,500-599 sqft
"12-50 Three Valleys Drive, Toronto, ON",815000,3+1 bed,2 bath,1400-1599 sqft
"24 Durie Street, Toronto, ON",2649000,4 bed,5 bath,2000-2500 sqft
"42 Ecker Drive, Toronto, ON",1139000,3+1 bed,2 bath,700-1100 sqft
"74 Cliff Street, Toronto, ON",899888,3+1 bed,2 bath,1100-1500 sqft
"12 Mortimer Avenue, Toronto, ON",1589000,4 bed,2 bath,1100-1500 sqft
"1212 Dufferin Street, Toronto, ON",1750000,– bed,– bath,
"111-10 Parkway Forest Drive, Toronto, ON",525000,2 bed,1 bath,900-999 sqft
"205-100 Dalhousie Street, Toronto, ON",489000,1 bed,1 bath,0-499 sqft
"711-20 Olive Avenue, Toronto, ON",599800,2 bed,1 bath,700-799 sqft
"1-34 Dundalk Drive, Toronto, ON",829000,3+1 bed,3 bath,1000-1199 sqft
"118 Mulock Avenue, Toronto, ON",1149900,3 bed,2 bath,1100-1500 sqft
"67 Chatsworth Drive, Toronto, ON",3750000,6+1 bed,5 bath,2500-3000 sqft
"910-15 Greenview Avenue, Toronto, ON",499000,1 bed,1 bath,500-599 sqft
"901-350 Mill Road, Toronto, ON",569900,1+1 bed,2 bath,800-899 sqft
"1216-15 Vicora Link Way, Toronto, ON",549000,3 bed,2 bath,1200-1399 sqft
"531 SE-60 Princess Street, Toronto, ON",549500,1 bed,1 bath,500-599 sqft
"1004-5180 Yonge Street, Toronto, ON",569000,1 bed,1 bath,0-499 sqft
"12 Forest Glen Crescent, Toronto, ON",9998000,6 bed,7 bath,5000 + sqft
"137 Blake Avenue, Toronto, ON",1800000,2+1 bed,2 bath,1100-1500 sqft
"79 Talbot Road, Toronto, ON",1800000,2+1 bed,2 bath,1100-1500 sqft
"197 Gamma Street, Toronto, ON",1198000,2+2 bed,2 bath,700-1100 sqft
"135 Blake Avenue, Toronto, ON",1800000,3+1 bed,2 bath,< 700 sqft
"139 Blake Avenue, Toronto, ON",1800000,3+1 bed,2 bath,1100-1500 sqft
"77 Talbot Road, Toronto, ON",1800000,3 bed,4 bath,< 700 sqft
"1130 Davenport Road, Toronto, ON",3290000,– bed,– bath,
"12 Summitcrest Drive, Toronto, ON",,— bed,— bath,— sqft
"1502-15 Greenview Avenue, Toronto, ON",609900,1+1 bed,1 bath,600-699 sqft
"702-118 Merchants' Wharf N/a, Toronto, ON",1749000,2+1 bed,3 bath,1200-1399 sqft
"720-90 Broadview Avenue, Toronto, ON",698000,1+1 bed,1 bath,600-699 sqft
"75 Talbot Road, Toronto, ON",1800000,3+1 bed,2 bath,< 700 sqft
"2-15 Forbes Avenue, Toronto, ON",869900,3 bed,2 bath,1200-1399 sqft
"25 Bamboo Grove, Toronto, ON",2388000,4+1 bed,4 bath,2000-2500 sqft
"2333 Gerrard Street E, Toronto, ON",1099000,3+3 bed,1 bath,1500-2000 sqft
"6 Penwood Crescent, Toronto, ON",6199998,5+1 bed,7 bath,3500-5000 sqft
"146 Ennerdale Road, Toronto, ON",1195000,3+1 bed,2 bath,1100-1500 sqft
"1005-101 Charles Street E, Toronto, ON",645000,1 bed,1 bath,500-599 sqft
"2205-25 Holly Street, Toronto, ON",579000,1+1 bed,1 bath,500-599 sqft
"2901 Danforth Avenue, Toronto, ON",1360000,– bed,– bath,
"PH02-365 Church Street, Toronto, ON",535000,1 bed,1 bath,0-499 sqft
"1133-68 Corporate Drive, Toronto, ON",589000,2+1 bed,2 bath,1000-1199 sqft
"2502-62 Forest Manor Road, Toronto, ON",920000,2+1 bed,2 bath,1000-1199 sqft
"22 Peterson Drive, Toronto, ON",788800,4 bed,3 bath,1100-1500 sqft
"108 Sammon Avenue, Toronto, ON",2399000,4+2 bed,5 bath,2000-2500 sqft
"PH06-151 Village Green Sq N/a, Toronto, ON",496000,1+1 bed,1 bath,500-599 sqft
"601-118 Yorkville Avenue, Toronto, ON",7750000,4 bed,6 bath,5000 + sqft
"69 Robert Street, Toronto, ON",1510000,4+1 bed,2 bath,1500-2000 sqft
"65 Oakhaven Drive, Toronto, ON",1138000,3+2 bed,4 bath,1100-1500 sqft
"26 Mcmaster Avenue, Toronto, ON",3895000,3+1 bed,5 bath,3000-3500 sqft
"2201-11 Charlotte Street, Toronto, ON",519000,1 bed,1 bath,500-599 sqft
"318-1190 Dundas Street E, Toronto, ON",654000,1+1 bed,1 bath,600-699 sqft
"82 Munro Boulevard, Toronto, ON",3998000,5+1 bed,6 bath,3500-5000 sqft
"2366 Bloor Street W, Toronto, ON",4500000,– bed,– bath,
"2214-230 Simcoe Street, Toronto, ON",749000,2 bed,2 bath,700-799 sqft
"1401-65 Harbour Square, Toronto, ON",1919000,2 bed,2 bath,1400-1599 sqft
"522-230 King Street E, Toronto, ON",650000,2 bed,1 bath,700-799 sqft
"261 Warden Avenue, Toronto, ON",799000,2+1 bed,1 bath,< 700 sqft
"18 Bellman Avenue, Toronto, ON",2175000,4 bed,5 bath,2000-2500 sqft
"12 Sonoma Way, Toronto, ON",1197000,3+1 bed,4 bath,1500-2000 sqft
"82 Northwood Drive, Toronto, ON",1625000,3+1 bed,2 bath,1100-1500 sqft
"268 Euclid Avenue, Toronto, ON",3450000,4+1 bed,5 bath,2000-2500 sqft
"1503-11 Lillian Street, Toronto, ON",589000,1+1 bed,2 bath,500-599 sqft
"526 Coldstream Avenue, Toronto, ON",,— bed,— bath,— sqft
"90 Deanvar Avenue, Toronto, ON",1249000,3+2 bed,2 bath,1100-1500 sqft
"522 Roselawn Avenue, Toronto, ON",2135000,3+1 bed,3 bath,1100-1500 sqft
"1128 Roselawn Avenue, Toronto, ON",999000,3 bed,2 bath,700-1100 sqft
"194 Lee Avenue, Toronto, ON",2299000,4+1 bed,5 bath,2000-2500 sqft
"2108-22 Wellesley Street E, Toronto, ON",788000,2 bed,2 bath,900-999 sqft
"1610-10 Park Lawn Road, Toronto, ON",799000,2+1 bed,2 bath,800-899 sqft
"307-1238 Dundas Street E, Toronto, ON",729900,2 bed,2 bath,700-799 sqft
"2204-11 Yorkville Avenue, Toronto, ON",819900,1 bed,1 bath,500-599 sqft
"808-225 Sumach Street, Toronto, ON",579900,1+1 bed,1 bath,500-599 sqft
"11 Flamingo Crescent, Toronto, ON",1249000,3+1 bed,2 bath,700-1100 sqft
"451 Staines Road E, Toronto, ON",1349999,4+3 bed,5 bath,2000-2500 sqft
"522 B Birchmount Road, Toronto, ON",998000,3+1 bed,4 bath,1500-2000 sqft
"690 Adelaide Street W, Toronto, ON",999000,3 bed,1 bath,700-1100 sqft
"210 Gowan Avenue, Toronto, ON",995000,2+2 bed,2 bath,1100-1500 sqft
"502-549 King Street E, Toronto, ON",505000,1 bed,1 bath,500-599 sqft
"2501-218 Queens Quay W, Toronto, ON",869000,2 bed,2 bath,900-999 sqft
"415-39 Queens Quay E, Toronto, ON",759000,1+1 bed,1 bath,700-799 sqft
"2712-15 Holmes Avenue, Toronto, ON",748000,1+1 bed,2 bath,600-699 sqft
"2102-15 Legion Road, Toronto, ON",638888,2 bed,1 bath,700-799 sqft
"4608-101 Charles Street E, Toronto, ON",758000,1+1 bed,1 bath,700-799 sqft
"376 O'connor Drive, Toronto, ON",1999000,3+1 bed,5 bath,2500-3000 sqft
"288 Newton Drive, Toronto, ON",1549000,4 bed,3 bath,2000-2500 sqft
"47 Combe Avenue, Toronto, ON",1198000,3+1 bed,2 bath,700-1100 sqft
"118 Betty Ann Drive, Toronto, ON",2149000,4+1 bed,2 bath,1500-2000 sqft
"3306-88 Harbour Street, Toronto, ON",650000,1 bed,1 bath,500-599 sqft
"16-47 Lexington Avenue, Toronto, ON",729900,3+1 bed,2 bath,1400-1599 sqft
"701-40 Bay Mills Boulevard, Toronto, ON",399000,1 bed,1 bath,700-799 sqft
"406-30 Roehampton Avenue, Toronto, ON",535800,1 bed,1 bath,500-599 sqft
"401-59 East Liberty Street, Toronto, ON",589000,1 bed,1 bath,600-699 sqft
"24 Harriet Street, Toronto, ON",1599000,3 bed,4 bath,1500-2000 sqft
"999 Dufferin Street, Toronto, ON",1650000,4 bed,3 bath,1500-2000 sqft
"706-158 Front Street E, Toronto, ON",499000,1 bed,1 bath,500-599 sqft
"708-50 Camden Street, Toronto, ON",559000,1 bed,1 bath,500-599 sqft
"309-39 Brant Street, Toronto, ON",549000,1 bed,1 bath,500-599 sqft
"11 Adelpha Drive, Toronto, ON",2187000,3+2 bed,4 bath,1500-2000 sqft
"506-105 Mccaul Street, Toronto, ON",399900,1 bed,1 bath,0-499 sqft
"603-23 Glebe Road W, Toronto, ON",830000,2 bed,2 bath,700-799 sqft
"65 Aileen Avenue, Toronto, ON",1399999,3+1 bed,5 bath,1500-2000 sqft
"307-3 Rean Drive, Toronto, ON",518880,1 bed,1 bath,500-599 sqft
"305-160 Frederick Street, Toronto, ON",1599000,2+1 bed,2 bath,2000-2249 sqft
"1727-250 Wellington Street W, Toronto, ON",599888,1+1 bed,1 bath,5000 + sqft
"43 Rusholme Road, Toronto, ON",2699900,4+1 bed,4 bath,3500-5000 sqft
