address,price,beds,baths,sqft
"S415-8 Olympic Garden Drive, Toronto, ON",535000,1 bed,1 bath,0-499 sqft
"3702-77 Harbour Square, Toronto, ON",999990,2 bed,2 bath,900-999 sqft
"TH 103-2301 Danforth Avenue, Toronto, ON",680000,1+1 bed,2 bath,700-799 sqft
"6 Tumbleweed Road, Toronto, ON",1429900,4 bed,3 bath,1500-2000 sqft
"394 Keewatin Avenue, Toronto, ON",1695000,3 bed,2 bath,1100-1500 sqft
"122 Spruce Street E, Toronto, ON",1450000,3 bed,1 bath,1100-1500 sqft
"54 Berkindale Drive, Toronto, ON",3998000,4 bed,5 bath,3500-5000 sqft
"RG1-1 Clairtrell Road, Toronto, ON",888000,3 bed,2 bath,1200-1399 sqft
"333-380 Macpherson Avenue, Toronto, ON",499000,1+1 bed,1 bath,600-699 sqft
"80 Albani Street, Toronto, ON",899000,4+2 bed,3 bath,1500-2000 sqft
"504-205 Sherway Gardens Road, Toronto, ON",559888,1+1 bed,1 bath,600-699 sqft
"24 Upminster Crescent, Toronto, ON",1999000,4+1 bed,3 bath,1500-2000 sqft
"75 Wandering Trail, Toronto, ON",1288888,4+3 bed,5 bath,2500-3000 sqft
"29 Bromley Crescent, Toronto, ON",4998000,4+1 bed,7 bath,3500-5000 sqft
"11-85 Eastwood Park Gardens, Toronto, ON",825000,2 bed,3 bath,1200-1399 sqft
"807-5 Soudan Avenue, Toronto, ON",898000,2 bed,2 bath,800-899 sqft
"263 Sixth Street, Toronto, ON",879000,3 bed,2 bath,700-1100 sqft
"834-46 Western Battery Road, Toronto, ON",929000,2 bed,2 bath,1000-1199 sqft
"3 Rosefair Crescent, Toronto, ON",1090000,3+1 bed,2 bath,1100-1500 sqft
"12 Bayard Avenue, Toronto, ON",899000,3+2 bed,2 bath,700-1100 sqft
"55 Rochman Boulevard, Toronto, ON",899900,3+2 bed,3 bath,1100-1500 sqft
"309-1705 Mccowan Road, Toronto, ON",449000,2 bed,2 bath,1000-1199 sqft
"2093-3045 Finch Avenue W, Toronto, ON",389900,1 bed,1 bath,500-599 sqft
"62 Tamarack Circle, Toronto, ON",879900,3 bed,3 bath,1200-1399 sqft
"323-4K Spadina Avenue, Toronto, ON",779000,2 bed,2 bath,700-799 sqft
"4 Old Oak Road, Toronto, ON",4499000,2+2 bed,4 bath,3000-3500 sqft
"131 Dovercourt Road, Toronto, ON",999900,4 bed,3 bath,1500-2000 sqft
"204-60 Haslett Avenue, Toronto, ON",549000,1+1 bed,1 bath,600-699 sqft
"102-262 St. Helen's Avenue, Toronto, ON",749900,3 bed,2 bath,1000-1199 sqft
"1802-251 Manitoba Street, Toronto, ON",689900,2 bed,2 bath,700-799 sqft
"1215-20 Dean Park Road, Toronto, ON",570000,1+1 bed,1 bath,900-999 sqft
"413-555 Yonge Street, Toronto, ON",798000,2+1 bed,2 bath,1000-1199 sqft
"911-205 Sherway Gardens Road, Toronto, ON",559900,1+1 bed,1 bath,700-799 sqft
"605-219 Dundas Street E, Toronto, ON",519000,1 bed,1 bath,500-599 sqft
"86 Bertmount Avenue, Toronto, ON",1199000,3 bed,2 bath,700-1100 sqft
"15 Seymour Avenue, Toronto, ON",999000,3+1 bed,2 bath,1100-1500 sqft
"18 Millbrook Crescent, Toronto, ON",1599000,4+1 bed,4 bath,1100-1500 sqft
"4 Saddletree Drive, Toronto, ON",1499000,4+3 bed,4 bath,3000-3500 sqft
"2001-117 Mcmahon Drive, Toronto, ON",429000,– bed,1 bath,0-499 sqft
"113-5 Maryport Avenue, Toronto, ON",785000,2 bed,2 bath,1000-1199 sqft
"2101-15 Legion Road, Toronto, ON",619900,1+1 bed,1 bath,600-699 sqft
"1 Barwell Crescent, Toronto, ON",1049999,3+2 bed,3 bath,1100-1500 sqft
"20 Abbeville Road, Toronto, ON",1195000,4 bed,4 bath,1100-1500 sqft
"28 Georgina Gate, Toronto, ON",928888,3 bed,4 bath,1500-2000 sqft
"2111-65 Bremner Boulevard, Toronto, ON",498000,1+1 bed,1 bath,500-599 sqft
"4 Brewton Road, Toronto, ON",799900,3 bed,1 bath,1100-1500 sqft
"428-60 Heintzman Street, Toronto, ON",599000,1+1 bed,1 bath,600-699 sqft
"1110-3220 Sheppard Avenue E, Toronto, ON",815000,2 bed,2 bath,800-899 sqft
"807-160 Alton Towers Circle, Toronto, ON",,— bed,— bath,— sqft
"5303-35 Mariner Terrace, Toronto, ON",699000,1+1 bed,1 bath,700-799 sqft
"414-352 Front Street W, Toronto, ON",559000,1 bed,1 bath,500-599 sqft
"140 Fenn Avenue, Toronto, ON",1649000,3+1 bed,3 bath,1500-2000 sqft
"372 Davenport Road, Toronto, ON",,— bed,— bath,— sqft
"1902-50 Thomas Riley Road, Toronto, ON",689999,2 bed,2 bath,800-899 sqft
"2303-18 Graydon Hall Drive, Toronto, ON",689000,2 bed,2 bath,800-899 sqft
"372 Davenport Road, Toronto, ON",,— bed,— bath,— sqft
"24 Kewbeach Avenue, Toronto, ON",1998000,2+1 bed,3 bath,1100-1500 sqft
"380 Old Orchard Grove, Toronto, ON",1529000,3+1 bed,2 bath,1100-1500 sqft
"PH 4403-110 Charles Street E, Toronto, ON",679900,1 bed,1 bath,500-599 sqft
"181 Bayview Heights Drive, Toronto, ON",4495000,4 bed,4 bath,2500-3000 sqft
"75 Clendenan Avenue, Toronto, ON",1685000,4 bed,3 bath,1500-2000 sqft
"405-90 Sherbourne Street, Toronto, ON",849900,1 bed,1 bath,1000-1199 sqft
"52 Belcourt Road, Toronto, ON",1299000,1+1 bed,1 bath,700-1100 sqft
"72 Jeremiah Lane, Toronto, ON",819000,3 bed,3 bath,1500-2000 sqft
"2708-88 Blue Jays Way, Toronto, ON",999999,2+1 bed,2 bath,900-999 sqft
"904-33 Shore Breeze Drive, Toronto, ON",629900,1 bed,1 bath,600-699 sqft
"61 John Lindsay Court, Toronto, ON",879000,3 bed,2 bath,1100-1500 sqft
"1003-28 Linden Street, Toronto, ON",595000,1 bed,1 bath,600-699 sqft
"924-9 Mabelle Avenue, Toronto, ON",400000,1 bed,1 bath,500-599 sqft
"76 Kenilworth Avenue, Toronto, ON",1199999,3+1 bed,2 bath,1100-1500 sqft
"2406-286 Main Street, Toronto, ON",659000,1+1 bed,2 bath,600-699 sqft
"30 Clearlake Avenue, Toronto, ON",1398800,4+2 bed,6 bath,2500-3000 sqft
"53-33 Proudbank Millway Way, Toronto, ON",799000,3+1 bed,4 bath,1600-1799 sqft
"1074 Midland Avenue, Toronto, ON",999009,3+2 bed,2 bath,700-1100 sqft
"2006-5793 Yonge Street, Toronto, ON",449000,1 bed,1 bath,500-599 sqft
"2923-5 Sheppard Avenue E, Toronto, ON",985000,2 bed,2 bath,900-999 sqft
"1010-19 Bathurst Street, Toronto, ON",599000,1+1 bed,1 bath,500-599 sqft
"807-400 Wellington Street W, Toronto, ON",1500000,2 bed,3 bath,1000-1199 sqft
"161 Queensdale Avenue, Toronto, ON",1249000,3 bed,2 bath,1100-1500 sqft
"43 Hillholm Road, Toronto, ON",16800000,4+1 bed,5 bath,5000 + sqft
"PH504-5765 Yonge Street, Toronto, ON",699000,2+1 bed,2 bath,1000-1199 sqft
"32 De Grassi Street, Toronto, ON",1299999,3+1 bed,3 bath,2500-3000 sqft
"1409-12 York Street, Toronto, ON",524888,1+1 bed,1 bath,500-599 sqft
"3309-1928 Lake Shore Boulevard W, Toronto, ON",1159000,2 bed,2 bath,900-999 sqft
"809-42 Charles Street E, Toronto, ON",499000,2 bed,1 bath,600-699 sqft
"1 Bloor Street S, Toronto, ON",1150000,2 bed,3 bath,800-899 sqft
"216-320 Dixon Road, Toronto, ON",374900,2+1 bed,1 bath,900-999 sqft
"728-60 Heintzman Street, Toronto, ON",459000,1 bed,1 bath,500-599 sqft
"53 Delburn Drive, Toronto, ON",1588000,4+1 bed,3 bath,1500-2000 sqft
"7 Ivybridge Drive, Toronto, ON",1875000,3+3 bed,4 bath,1100-1500 sqft
"18 Divadale Drive, Toronto, ON",5499000,4+1 bed,7 bath,3500-5000 sqft
"90 Clement Road, Toronto, ON",1399900,3+1 bed,3 bath,1100-1500 sqft
"601-2240 Lake Shore Boulevard W, Toronto, ON",670000,1+1 bed,1 bath,700-799 sqft
"10-3500 Brimley Road, Toronto, ON",699000,3+1 bed,2 bath,1200-1399 sqft
"2604 NT-99 Broadway Avenue, Toronto, ON",599900,2 bed,2 bath,600-699 sqft
"1007-5740 Yonge Street, Toronto, ON",549999,2 bed,2 bath,700-799 sqft
"106-650 King Street W, Toronto, ON",998000,2 bed,2 bath,1200-1399 sqft
"79 Radwell Crescent, Toronto, ON",1088000,3+2 bed,5 bath,1500-2000 sqft
"597 Conacher Drive, Toronto, ON",1298888,3+3 bed,3 bath,700-1100 sqft
"245 Ranleigh Avenue, Toronto, ON",2452000,4+2 bed,4 bath,2000-2500 sqft
"603-1055 Bay Street, Toronto, ON",518000,1 bed,1 bath,500-599 sqft
"1810-20 Richardson Street, Toronto, ON",759900,2 bed,2 bath,700-799 sqft
"7 West Wareside Road, Toronto, ON",999000,3+1 bed,2 bath,1500-2000 sqft
"4444 Bathurst Street, Toronto, ON",999999,3 bed,3 bath,1500-2000 sqft
"63 Shepmore Terrace, Toronto, ON",869900,3+1 bed,3 bath,1100-1500 sqft
"3301-159 Wellesley Street E, Toronto, ON",553000,1 bed,1 bath,500-599 sqft
"1213-330 Mccowan Road W, Toronto, ON",539000,2+1 bed,2 bath,1000-1199 sqft
"912-236 Albion Road, Toronto, ON",468000,2 bed,1 bath,1000-1199 sqft
"105-195 Merton Street, Toronto, ON",728000,2 bed,1 bath,800-899 sqft
"503-30 Canterbury Place, Toronto, ON",599000,1+1 bed,2 bath,800-899 sqft
"808-7 Smith Crescent, Toronto, ON",1199000,3 bed,2 bath,1200-1399 sqft
"321-20 Southport Street, Toronto, ON",648000,2+1 bed,2 bath,1000-1199 sqft
"14 Pinegrove Avenue, Toronto, ON",899000,3+1 bed,2 bath,700-1100 sqft
"5101-395 Bloor Street E, Toronto, ON",538900,1+1 bed,1 bath,600-699 sqft
"357 Roehampton Avenue, Toronto, ON",2549000,5+2 bed,3 bath,2500-3000 sqft
"355 Roehampton Avenue, Toronto, ON",1649000,2 bed,1 bath,700-1100 sqft
"902-170 Sumach Street, Toronto, ON",749900,2 bed,2 bath,700-799 sqft
"509-3220 Sheppard Avenue E, Toronto, ON",618888,1+1 bed,1 bath,800-899 sqft
"355-357 Roehampton Avenue, Toronto, ON",4198000,– bed,– bath,
"UNIT D-32 Massey Street, Toronto, ON",955000,2 bed,3 bath,1200-1399 sqft
"63 Hallam Street, Toronto, ON",950000,3+1 bed,3 bath,1100-1500 sqft
"101 Grandview Way, Toronto, ON",699999,2 bed,2 bath,1400-1599 sqft
"1004-70 Alexander Street, Toronto, ON",458000,1+1 bed,1 bath,600-699 sqft
"S912-8 Olympic Garden Drive, Toronto, ON",928000,2+1 bed,2 bath,1000-1199 sqft
"S3309-8 Olympic Garden Drive, Toronto, ON",538000,1 bed,1 bath,500-599 sqft
"28 Flerimac Road, Toronto, ON",985000,3 bed,2 bath,1500-2000 sqft
"613-52 Forest Manor Road, Toronto, ON",499999,1+1 bed,1 bath,500-599 sqft
"505-25 Adra Grado Way, Toronto, ON",669000,1+1 bed,2 bath,700-799 sqft
"803-39 Annie Craig Drive, Toronto, ON",489000,1+1 bed,1 bath,500-599 sqft
"3308-110 Charles Street S, Toronto, ON",835800,2 bed,3 bath,800-899 sqft
"75 Samson Crescent, Toronto, ON",975000,3+1 bed,2 bath,700-1100 sqft
"176 Symington Avenue, Toronto, ON",1249999,3 bed,3 bath,1100-1500 sqft
"302-330 Adelaide Street E, Toronto, ON",679900,2 bed,2 bath,900-999 sqft
"209-5580 Sheppard Avenue E, Toronto, ON",399000,1+1 bed,1 bath,600-699 sqft
"1506-28 Ted Rogers Way, Toronto, ON",637000,1+1 bed,1 bath,600-699 sqft
"2208-340 Dixon Road, Toronto, ON",268000,2 bed,1 bath,800-899 sqft
"2045-35 Viking Lane, Toronto, ON",495000,1 bed,1 bath,600-699 sqft
"3 Silvertip Crescent, Toronto, ON",999988,3+2 bed,3 bath,1500-2000 sqft
"201-73 Richmond Street W, Toronto, ON",479000,– bed,1 bath,0-499 sqft
"53 Woody Vine Way, Toronto, ON",675000,3 bed,2 bath,1000-1199 sqft
"822-1100 Sheppard Avenue W, Toronto, ON",540000,1+1 bed,2 bath,600-699 sqft
"1306-120 Harrison Gardens Boulevard, Toronto, ON",599880,2 bed,2 bath,700-799 sqft
"70 Wexford Boulevard, Toronto, ON",1299000,3+2 bed,2 bath,1100-1500 sqft
"73 Maresfield Drive, Toronto, ON",1099000,3+1 bed,3 bath,1100-1500 sqft
"2205-131 Torresdale Avenue, Toronto, ON",619000,2+1 bed,2 bath,1400-1599 sqft
"PH2-736 Dundas Street E, Toronto, ON",1019000,1+1 bed,1 bath,800-899 sqft
"770 Sammon Avenue, Toronto, ON",,— bed,— bath,— sqft
"1029-39 Queens Quay E, Toronto, ON",599000,1 bed,1 bath,500-599 sqft
"803-16 Mcadam Avenue, Toronto, ON",624900,2 bed,2 bath,800-899 sqft
"2708-36 Park Lawn Road, Toronto, ON",585000,1 bed,1 bath,600-699 sqft
"8-10 Thistle Down Boulevard, Toronto, ON",2950000,8+7 bed,4 bath,700-1100 sqft
"1 Hickory Tree Road, Toronto, ON",449000,1+1 bed,1 bath,700-799 sqft
"88 Yardley Avenue, Toronto, ON",2649000,4+2 bed,6 bath,2000-2500 sqft
"294 Douglas Drive, Toronto, ON",2895000,3 bed,3 bath,2000-2500 sqft
"801-225 Bamburgh Circle, Toronto, ON",588000,2+1 bed,2 bath,1200-1399 sqft
"907-3121 Sheppard Avenue N/a E, Toronto, ON",529000,1+1 bed,1 bath,500-599 sqft
"43 Hartfield Road, Toronto, ON",2299000,2+2 bed,2 bath,1100-1500 sqft
"1107-285 Mutual Street, Toronto, ON",749900,1+1 bed,1 bath,700-799 sqft
"1504-5949 Yonge Street, Toronto, ON",339000,1+1 bed,1 bath,600-699 sqft
"1020-19 Western Battery Road, Toronto, ON",579000,1+1 bed,2 bath,600-699 sqft
"403-1001 Bay Street, Toronto, ON",968800,2+1 bed,2 bath,1000-1199 sqft
"15 Beresford Avenue, Toronto, ON",2895000,4+1 bed,5 bath,2000-2500 sqft
"21 Yewfield Crescent, Toronto, ON",2500000,3+3 bed,3 bath,2500-3000 sqft
"95 Great Oak Drive, Toronto, ON",3499000,4 bed,5 bath,3000-3500 sqft
"819 Oxford Street, Toronto, ON",1189888,4 bed,3 bath,
