address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"132 Douglas Avenue, Toronto, ON",1489000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"60 Faversham Crescent, Toronto, ON",1299000.0,4,2,1100-1500,4.0,2.0,1300.0,4,0
"15 Burlington Street, Toronto, ON",1228000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"2401-28 Freeland Street, Toronto, ON",688000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"107-25 Holly Street, Toronto, ON",1799000.0,4,3,1600-1799,4.0,3.0,1700.0,4,0
"2203-18 Lee Centre Drive, Toronto, ON",528800.0,2,2,800-899,2.0,2.0,850.0,2,0
"901-22 Wellesley Street E, Toronto, ON",749900.0,2,2,900-999,2.0,2.0,950.0,2,0
"2A Methuen Avenue, Toronto, ON",1899900.0,3,4,1500-2000,3.0,4.0,1750.0,3,0
"5804-11 Yorkville Avenue, Toronto, ON",1390000.0,2,2,800-899,2.0,2.0,850.0,2,0
"S415-8 Olympic Garden Drive, Toronto, ON",535000.0,1,1,0-499,1.0,1.0,250.0,1,0
"3702-77 Harbour Square, Toronto, ON",999990.0,2,2,900-999,2.0,2.0,950.0,2,0
"TH 103-2301 Danforth Avenue, Toronto, ON",680000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"6 Tumbleweed Road, Toronto, ON",1429900.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
"394 Keewatin Avenue, Toronto, ON",1695000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"122 Spruce Street E, Toronto, ON",1450000.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"54 Berkindale Drive, Toronto, ON",3998000.0,4,5,3500-5000,4.0,5.0,4250.0,4,0
"RG1-1 Clairtrell Road, Toronto, ON",888000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"333-380 Macpherson Avenue, Toronto, ON",499000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"80 Albani Street, Toronto, ON",899000.0,4+2,3,1500-2000,6.0,3.0,1750.0,4,2
"504-205 Sherway Gardens Road, Toronto, ON",559888.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"24 Upminster Crescent, Toronto, ON",1999000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"75 Wandering Trail, Toronto, ON",1288888.0,4+3,5,2500-3000,7.0,5.0,2750.0,4,3
"29 Bromley Crescent, Toronto, ON",4998000.0,4+1,7,3500-5000,5.0,7.0,4250.0,4,1
"11-85 Eastwood Park Gardens, Toronto, ON",825000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"807-5 Soudan Avenue, Toronto, ON",898000.0,2,2,800-899,2.0,2.0,850.0,2,0
"263 Sixth Street, Toronto, ON",879000.0,3,2,700-1100,3.0,2.0,900.0,3,0
"834-46 Western Battery Road, Toronto, ON",929000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"3 Rosefair Crescent, Toronto, ON",1090000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"12 Bayard Avenue, Toronto, ON",899000.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"55 Rochman Boulevard, Toronto, ON",899900.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"309-1705 Mccowan Road, Toronto, ON",449000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"2093-3045 Finch Avenue W, Toronto, ON",389900.0,1,1,500-599,1.0,1.0,550.0,1,0
"62 Tamarack Circle, Toronto, ON",879900.0,3,3,1200-1399,3.0,3.0,1300.0,3,0
"323-4K Spadina Avenue, Toronto, ON",779000.0,2,2,700-799,2.0,2.0,750.0,2,0
"4 Old Oak Road, Toronto, ON",4499000.0,2+2,4,3000-3500,4.0,4.0,3250.0,2,2
"131 Dovercourt Road, Toronto, ON",999900.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
"204-60 Haslett Avenue, Toronto, ON",549000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"102-262 St. Helen's Avenue, Toronto, ON",749900.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"1802-251 Manitoba Street, Toronto, ON",689900.0,2,2,700-799,2.0,2.0,750.0,2,0
"1215-20 Dean Park Road, Toronto, ON",570000.0,1+1,1,900-999,2.0,1.0,950.0,1,1
"413-555 Yonge Street, Toronto, ON",798000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"911-205 Sherway Gardens Road, Toronto, ON",559900.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"605-219 Dundas Street E, Toronto, ON",519000.0,1,1,500-599,1.0,1.0,550.0,1,0
"86 Bertmount Avenue, Toronto, ON",1199000.0,3,2,700-1100,3.0,2.0,900.0,3,0
"15 Seymour Avenue, Toronto, ON",999000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"18 Millbrook Crescent, Toronto, ON",1599000.0,4+1,4,1100-1500,5.0,4.0,1300.0,4,1
"4 Saddletree Drive, Toronto, ON",1499000.0,4+3,4,3000-3500,7.0,4.0,3250.0,4,3
"113-5 Maryport Avenue, Toronto, ON",785000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"2101-15 Legion Road, Toronto, ON",619900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1 Barwell Crescent, Toronto, ON",1049999.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"20 Abbeville Road, Toronto, ON",1195000.0,4,4,1100-1500,4.0,4.0,1300.0,4,0
"28 Georgina Gate, Toronto, ON",928888.0,3,4,1500-2000,3.0,4.0,1750.0,3,0
"2111-65 Bremner Boulevard, Toronto, ON",498000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"4 Brewton Road, Toronto, ON",799900.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"428-60 Heintzman Street, Toronto, ON",599000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1110-3220 Sheppard Avenue E, Toronto, ON",815000.0,2,2,800-899,2.0,2.0,850.0,2,0
"5303-35 Mariner Terrace, Toronto, ON",699000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"414-352 Front Street W, Toronto, ON",559000.0,1,1,500-599,1.0,1.0,550.0,1,0
"140 Fenn Avenue, Toronto, ON",1649000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"1902-50 Thomas Riley Road, Toronto, ON",689999.0,2,2,800-899,2.0,2.0,850.0,2,0
"2303-18 Graydon Hall Drive, Toronto, ON",689000.0,2,2,800-899,2.0,2.0,850.0,2,0
"24 Kewbeach Avenue, Toronto, ON",1998000.0,2+1,3,1100-1500,3.0,3.0,1300.0,2,1
"380 Old Orchard Grove, Toronto, ON",1529000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"PH 4403-110 Charles Street E, Toronto, ON",679900.0,1,1,500-599,1.0,1.0,550.0,1,0
"181 Bayview Heights Drive, Toronto, ON",4495000.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"75 Clendenan Avenue, Toronto, ON",1685000.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
