address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"2302-18 Maitland Terrace, Toronto, ON",568000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"901-3303 Don Mills Rd N/a, Toronto, ON",868000.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"5106-25 Telegram Mews, Toronto, ON",1188000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"3602-361 Front Street W, Toronto, ON",589000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"33 Hounslow Heath Road, Toronto, ON",915000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"334-543 Richmond Street W, Toronto, ON",629000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"318-2119 Lakeshore Boulevard W, Toronto, ON",668000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"89 Nash Drive, Toronto, ON",1198000.0,5+1,3,1500-2000,6.0,3.0,1750.0,5,1
"1409-7 Golden Lion Hts Avenue, Toronto, ON",675000.0,2,2,700-799,2.0,2.0,750.0,2,0
"4 Buckley Crescent, Toronto, ON",1198000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"218 Guildwood Parkway, Toronto, ON",1786000.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"PH07-20 Gilder Drive, Toronto, ON",549000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"253 Fulton Avenue, Toronto, ON",1499000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"3010-33 Singer Court, Toronto, ON",499999.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2111-15 Greenview Avenue, Toronto, ON",798000.0,2,2,800-899,2.0,2.0,850.0,2,0
"27 Sonic Way, Toronto, ON",999000.0,3,3,1600-1799,3.0,3.0,1700.0,3,0
"106 Pleasant Avenue, Toronto, ON",1399000.0,4+3,4,1100-1500,7.0,4.0,1300.0,4,3
"1216-2031 Kennedy Road, Toronto, ON",684900.0,2,2,700-799,2.0,2.0,750.0,2,0
"4105-85 Wood Street, Toronto, ON",499999.0,1,1,0-499,1.0,1.0,250.0,1,0
"65 Coxwell Avenue, Toronto, ON",1449000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"PH10-30 Thunder Grove, Toronto, ON",569000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"383 Rimilton Avenue, Toronto, ON",1099800.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"705-128 Fairview Mall Drive, Toronto, ON",588000.0,2,2,700-799,2.0,2.0,750.0,2,0
"41 Anndale Drive, Toronto, ON",1449000.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"70 Bickerton Crescent, Toronto, ON",1188000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"136 Humbercrest Boulevard, Toronto, ON",2600000.0,3,2,1880,3.0,2.0,1880.0,3,0
"4047 Old Dundas Street, Toronto, ON",1099900.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"20 Westleigh Crescent, Toronto, ON",1099900.0,4,2,700-1100,4.0,2.0,900.0,4,0
"1419-20 Edward Street, Toronto, ON",579000.0,1,1,0-499,1.0,1.0,250.0,1,0
"603-2800 Warden Avenue, Toronto, ON",369000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1111 Kipling Avenue, Toronto, ON",1799000.0,4,2,2000-2500,4.0,2.0,2250.0,4,0
"1227-28 Sommerset Way, Toronto, ON",1180000.0,2+2,2,1400-1599,4.0,2.0,1500.0,2,2
"423-1100 Kingston Road, Toronto, ON",699000.0,2+1,2,0-499,3.0,2.0,250.0,2,1
"208-225 Wellesley Street E, Toronto, ON",649000.0,2,1,700-799,2.0,1.0,750.0,2,0
"517-35 Hayden Street, Toronto, ON",839000.0,2,1,700-799,2.0,1.0,750.0,2,0
"9 Craiglee Drive, Toronto, ON",799900.0,3,2,700-1100,3.0,2.0,900.0,3,0
"448-26 Gibbs Road, Toronto, ON",625000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"627-29 Queens Quay N/a E, Toronto, ON",599000.0,1,1,600-699,1.0,1.0,650.0,1,0
"204 Clendenan Avenue, Toronto, ON",1849000.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"3105-55 Cooper Street, Toronto, ON",599000.0,2,2,700-799,2.0,2.0,750.0,2,0
"2-153 Isaac Devins Boulevard, Toronto, ON",499999.0,1,1,600-699,1.0,1.0,650.0,1,0
"3711-38 Widmer Street, Toronto, ON",938000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"1203-260 Seneca Hill Drive, Toronto, ON",579000.0,2,1,900-999,2.0,1.0,950.0,2,0
"1411-40 Panorama Court, Toronto, ON",599999.0,3,2,1400-1599,3.0,2.0,1500.0,3,0
"915-80 Vanauley Street, Toronto, ON",1168000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"516W-27 Bathurst Street, Toronto, ON",569000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"1410-365 Church Street, Toronto, ON",718000.0,2,2,700-799,2.0,2.0,750.0,2,0
"714-36 Forest Manor Road, Toronto, ON",499000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"1809-159 Wellesley Street E, Toronto, ON",500000.0,1,1,0-499,1.0,1.0,250.0,1,0
"22 Fairmeadow Avenue, Toronto, ON",2498000.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"94A Admiral Road, Toronto, ON",3700000.0,3+1,5,2500-3000,4.0,5.0,2750.0,3,1
"105-670 Richmond Street W, Toronto, ON",649000.0,1,1,700-799,1.0,1.0,750.0,1,0
"2815-90 Park Lawn Road, Toronto, ON",499000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"TH 25-21 Replin Road, Toronto, ON",989900.0,3+1,3,1200-1399,4.0,3.0,1300.0,3,1
"2504-155 Yorkville Avenue, Toronto, ON",549000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"3303-95 Mcmahon Drive, Toronto, ON",1130000.0,3,3,1000-1199,3.0,3.0,1100.0,3,0
"1-7 Gosford Boulevard, Toronto, ON",649000.0,3+1,3,1200-1399,4.0,3.0,1300.0,3,1
"3207-10 Yonge Street, Toronto, ON",699900.0,1+1,1,900-999,2.0,1.0,950.0,1,1
"18 Ilfracombe Crescent, Toronto, ON",799000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"19 Devon Road, Toronto, ON",2599000.0,4+2,6,2000-2500,6.0,6.0,2250.0,4,2
"3008-1 Market Street, Toronto, ON",539000.0,1,1,0-499,1.0,1.0,250.0,1,0
"2606-286 Main Street, Toronto, ON",624900.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"39 Old Oak Road, Toronto, ON",1669000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"7 Farningham Crescent, Toronto, ON",2999900.0,4,5,3500-5000,4.0,5.0,4250.0,4,0
"17 Myrtle Avenue, Toronto, ON",2898000.0,5+1,6,2500-3000,6.0,6.0,2750.0,5,1
"4 Corrigan Close, Toronto, ON",4395000.0,4,5,3500-5000,4.0,5.0,4250.0,4,0
"1706-65 Mutual Street, Toronto, ON",699000.0,2,2,700-799,2.0,2.0,750.0,2,0
"213-295 Davenport Road, Toronto, ON",999000.0,1+1,2,1200-1399,2.0,2.0,1300.0,1,1
"115-3650 Kingston Road, Toronto, ON",499000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"714-2 A Church Street, Toronto, ON",659900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"610 Lauder Avenue, Toronto, ON",940000.0,4,3,1100-1500,4.0,3.0,1300.0,4,0
"185 Courcelette Road, Toronto, ON",1179900.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"790 Coxwell Avenue, Toronto, ON",999000.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
"15 Quietbrook Crescent, Toronto, ON",1399888.0,4+2,5,2000-2500,6.0,5.0,2250.0,4,2
"702-100 Antibes Drive, Toronto, ON",630000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"3906-11 Brunel Court, Toronto, ON",789000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"12-1455 O'connor Drive W, Toronto, ON",1245990.0,2,3,1330,2.0,3.0,1330.0,2,0
"24 Yonge Boulevard, Toronto, ON",1495000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"516-95 Bathurst Street, Toronto, ON",629900.0,1,1,600-699,1.0,1.0,650.0,1,0
"1005-135 East Liberty Street, Toronto, ON",860000.0,2,2,700-799,2.0,2.0,750.0,2,0
"183 Lawrence Avenue W, Toronto, ON",1489000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"129 York Downs Drive, Toronto, ON",2498000.0,5+1,5,3000-3500,6.0,5.0,3250.0,5,1
"702-19 Grand Trunk Crescent, Toronto, ON",799000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"211-155 Beecroft Road, Toronto, ON",699000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"15 Winston Avenue, Toronto, ON",799000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"2440-33 Harbour Square, Toronto, ON",805000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"2006-2220 Lakeshore Boulevard W, Toronto, ON",499000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"53 Northfield Road, Toronto, ON",799000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"816-19 Bathurst Street, Toronto, ON",498888.0,1,1,500-599,1.0,1.0,550.0,1,0
"2210-10 Martha Eaton Way, Toronto, ON",539000.0,3+1,2,1000-1199,4.0,2.0,1100.0,3,1
"12B Foch Avenue, Toronto, ON",2000000.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"64 Antioch Drive, Toronto, ON",1898000.0,3+1,2,2000-2500,4.0,2.0,2250.0,3,1
"155 Golfview Avenue, Toronto, ON",799000.0,2,1,700-1100,2.0,1.0,900.0,2,0
"1107-1 Lee Centre Drive, Toronto, ON",579900.0,2,2,900-999,2.0,2.0,950.0,2,0
"1205-90 Park Lawn Road, Toronto, ON",1019000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"523-18 Rean Drive, Toronto, ON",699999.0,2,2,800-899,2.0,2.0,850.0,2,0
"1010-75 The Donway N/a W, Toronto, ON",999000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"1032-460 Adelaide Street E, Toronto, ON",688000.0,2,2,700-799,2.0,2.0,750.0,2,0
"6 Langevin Crescent, Toronto, ON",899900.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"35 Woodenhill Court, Toronto, ON",1299999.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"54 Burncrest Drive, Toronto, ON",2498000.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"702-350 Mill Road, Toronto, ON",789000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1515-38 Joe Shuster Way, Toronto, ON",499000.0,1,1,500-599,1.0,1.0,550.0,1,0
"603-1 Hillsdale Avenue W, Toronto, ON",999990.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"1108-628 Fleet Street, Toronto, ON",839000.0,2,2,800-899,2.0,2.0,850.0,2,0
"135 Glenvale Boulevard, Toronto, ON",3499000.0,4+1,5,3000-3500,5.0,5.0,3250.0,4,1
"281 Jeffcoat Drive, Toronto, ON",1149000.0,4,2,1500-2000,4.0,2.0,1750.0,4,0
"2005-89 Dunfield Avenue, Toronto, ON",699900.0,2,2,700-799,2.0,2.0,750.0,2,0
"2404-2A Church Street, Toronto, ON",749000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"2503-380 Dixon Road, Toronto, ON",395000.0,1,1,700-799,1.0,1.0,750.0,1,0
"2205-12 Sudbury Street, Toronto, ON",799900.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"340 Spring Garden Avenue, Toronto, ON",5188000.0,5+2,6,3500-5000,7.0,6.0,4250.0,5,2
"42 Lynd Avenue, Toronto, ON",1999000.0,5,3,2000-2500,5.0,3.0,2250.0,5,0
"1107-36 Forest Manor Road, Toronto, ON",499000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"302-77 Mcmurrich Street, Toronto, ON",1199000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"329-40 Oaklands Avenue, Toronto, ON",1975000.0,2+1,3,1600-1799,3.0,3.0,1700.0,2,1
"61-175 Trudelle Street, Toronto, ON",749900.0,4,3,1200-1399,4.0,3.0,1300.0,4,0
"706-1346 Danforth Road, Toronto, ON",554999.0,2,2,700-799,2.0,2.0,750.0,2,0
"63-2758 Eglinton Avenue E, Toronto, ON",749000.0,3+1,3,1200-1399,4.0,3.0,1300.0,3,1
"83 Shaver Avenue N, Toronto, ON",1850000.0,4+1,4,2500-3000,5.0,4.0,2750.0,4,1
"20 Royal Street, Toronto, ON",929000.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"20 Slidell Crescent, Toronto, ON",899900.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"1712-19 Western Battery Road, Toronto, ON",499000.0,2,1,600-699,2.0,1.0,650.0,2,0
"49-385 The East Mall N/a, Toronto, ON",1149800.0,2,4,1200-1399,2.0,4.0,1300.0,2,0
"103-15 Sousa Mendes Street, Toronto, ON",1199000.0,3+1,3,1400-1599,4.0,3.0,1500.0,3,1
"1114-35 Mercer Street, Toronto, ON",947888.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"1903-3303 Don Mills Road, Toronto, ON",599000.0,2+1,2,1600-1799,3.0,2.0,1700.0,2,1
"712-38 Lee Centre Drive, Toronto, ON",470000.0,2,1,700-799,2.0,1.0,750.0,2,0
"215 Searle Avenue, Toronto, ON",1589000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"116 Lake Shore Drive, Toronto, ON",1989000.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"28 Cleveland Street, Toronto, ON",1025000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"407-736 Dundas Street E, Toronto, ON",745000.0,1,2,700-799,1.0,2.0,750.0,1,0
"3009-138 Downes Street, Toronto, ON",750000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2209-252 Church Street, Toronto, ON",669000.0,1+1,2,500-599,2.0,2.0,550.0,1,1
"525-36 Zorra Street, Toronto, ON",628800.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"1705-576 Front Street W, Toronto, ON",999900.0,2,2,900-999,2.0,2.0,950.0,2,0
"1409-18 Harrison Garden Boulevard, Toronto, ON",543000.0,1,1,500-599,1.0,1.0,550.0,1,0
"223 Willowdale Avenue, Toronto, ON",1390000.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"143 William Street, Toronto, ON",699900.0,2,2,700-1100,2.0,2.0,900.0,2,0
"3907-38 Widmer Street, Toronto, ON",638000.0,2,2,600-699,2.0,2.0,650.0,2,0
"205-6 Jackes Avenue, Toronto, ON",1050000.0,2,2,900-999,2.0,2.0,950.0,2,0
"3909-197 Yonge Street, Toronto, ON",899900.0,3,2,800-899,3.0,2.0,850.0,3,0
"63 Lamb Avenue, Toronto, ON",1279000.0,4+1,3,1100-1500,5.0,3.0,1300.0,4,1
"807-236 Albion Road, Toronto, ON",428800.0,2,1,800-899,2.0,1.0,850.0,2,0
"413-103 The Queensway Avenue, Toronto, ON",619900.0,2,2,800-899,2.0,2.0,850.0,2,0
"602-39 Sherbourne Street, Toronto, ON",495000.0,1,1,500-599,1.0,1.0,550.0,1,0
"2705-18 Spring Garden Avenue, Toronto, ON",785000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1808-330 Richmond Street, Toronto, ON",579000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1003-70 High Park Avenue, Toronto, ON",740000.0,2,1,700-799,2.0,1.0,750.0,2,0
"1006-225 Village Green Square, Toronto, ON",658000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"904-30 Meadowglen Place, Toronto, ON",499900.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"506-8 The Esplanade Street, Toronto, ON",675000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1001-400 Wellington Street W, Toronto, ON",775000.0,1,2,700-799,1.0,2.0,750.0,1,0
"804-1190 Dundas Street E, Toronto, ON",797900.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"515-1830 Bloor Street W, Toronto, ON",529900.0,1,1,500-599,1.0,1.0,550.0,1,0
"SPH07-600 Queens Quay W, Toronto, ON",799000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"125 Anthony Road, Toronto, ON",2088000.0,5+1,7,3000-3500,6.0,7.0,3250.0,5,1
"124 Barse Street, Toronto, ON",2090000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"80A Evans Avenue, Toronto, ON",2049900.0,3+1,4,2000-2500,4.0,4.0,2250.0,3,1
"77 College View Avenue, Toronto, ON",2499000.0,3+2,4,2000-2500,5.0,4.0,2250.0,3,2
"708-18 Lower Village Gate, Toronto, ON",1325000.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"77 Waringstown Drive, Toronto, ON",999777.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"107 Kitchener Road, Toronto, ON",699000.0,3,1,700-1100,3.0,1.0,900.0,3,0
"2907-955 Bay Street, Toronto, ON",499000.0,1,1,0-499,1.0,1.0,250.0,1,0
"1910-20 Meadowglen Place, Toronto, ON",499900.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"62 St Germain Avenue, Toronto, ON",3659900.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"209-35 Mariner Terrace, Toronto, ON",950000.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"78 Edith Drive, Toronto, ON",1195000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"79 John Tabor Trail, Toronto, ON",899999.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"55 Chiswick Avenue, Toronto, ON",1799000.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"59 Acton Avenue, Toronto, ON",1589000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"338 Betty Ann Drive, Toronto, ON",1999000.0,3,4,2000-2500,3.0,4.0,2250.0,3,0
"1811-236 Albion Road, Toronto, ON",499788.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"110-3000 Bathurst Street, Toronto, ON",529000.0,1,1,500-599,1.0,1.0,550.0,1,0
"204-2522 Keele Street, Toronto, ON",569990.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"314-1131 Steeles Avenue W, Toronto, ON",499000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"909-10 Wilby Crescent, Toronto, ON",579995.0,2,2,800-899,2.0,2.0,850.0,2,0
"1 Mac Frost Way, Toronto, ON",1188000.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"85 Manderley Drive, Toronto, ON",899900.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"388 Crawford Street, Toronto, ON",2299900.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"21 Forest Heights Boulevard, Toronto, ON",6580000.0,5+1,7,3500-5000,6.0,7.0,4250.0,5,1
"4 Burleigh Heights Drive, Toronto, ON",3488000.0,4+1,6,3500-5000,5.0,6.0,4250.0,4,1
"29 Penzance Drive, Toronto, ON",880999.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"252 Otonabee Avenue, Toronto, ON",1995000.0,5+1,4,3500-5000,6.0,4.0,4250.0,5,1
"908-10 Wilby Crescent, Toronto, ON",574900.0,2,2,800-899,2.0,2.0,850.0,2,0
"1008-60 Tannery Road, Toronto, ON",750000.0,2,2,700-799,2.0,2.0,750.0,2,0
"32-3409 St Clair Avenue E, Toronto, ON",749900.0,4+2,4,1400-1599,6.0,4.0,1500.0,4,2
"1A-1733 Bathurst Street, Toronto, ON",849000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"429-33 Frederick Todd Way, Toronto, ON",499000.0,1,1,500-599,1.0,1.0,550.0,1,0
"2701-7 Mabelle Avenue, Toronto, ON",639000.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"406-12 Sudbury Street, Toronto, ON",778000.0,3,1,800-899,3.0,1.0,850.0,3,0
"401-1765 Queen Street E, Toronto, ON",1059000.0,2,2,900-999,2.0,2.0,950.0,2,0
"1501-133 Torresdale Avenue E, Toronto, ON",659000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"208-60 Princess Street, Toronto, ON",650000.0,2,2,700-799,2.0,2.0,750.0,2,0
"507-21 Grand Magazine Street, Toronto, ON",700000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"212-760 The Queens Way, Toronto, ON",660000.0,2,2,700-799,2.0,2.0,750.0,2,0
"103 Oakridge Drive, Toronto, ON",849999.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"219 Goldhawk Trail, Toronto, ON",1098800.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"6 Greening Crescent, Toronto, ON",1748000.0,3+3,2,1100-1500,6.0,2.0,1300.0,3,3
"14 Baskerville Crescent, Toronto, ON",1279000.0,4+1,2,1500-2000,5.0,2.0,1750.0,4,1
"1125-32 Trolley Crescent, Toronto, ON",789000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"336-1100 Lansdowne Avenue, Toronto, ON",999000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"696 Crawford Street, Toronto, ON",1379000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"736 Glencairn Avenue, Toronto, ON",1875000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"803-830 Lawrence Avenue, Toronto, ON",598000.0,2,2,600-699,2.0,2.0,650.0,2,0
"1907-20 Richardson Street, Toronto, ON",774800.0,2,2,800-899,2.0,2.0,850.0,2,0
"S802-180 Mill Street, Toronto, ON",499000.0,2,2,600-699,2.0,2.0,650.0,2,0
"2006-1926 Lakeshore Boulevard W, Toronto, ON",729900.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"525-25 Lower Simcoe Street, Toronto, ON",659900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"218 Jane Street, Toronto, ON",3200000.0,4+1,4,3000-3249,5.0,4.0,3124.0,4,1
"23 Lorindale Avenue, Toronto, ON",2189000.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"33 Notley Place, Toronto, ON",899999.0,3+1,3,700-1100,4.0,3.0,900.0,3,1
"37 Heather Road, Toronto, ON",2549000.0,3,3,2000-2500,3.0,3.0,2250.0,3,0
"309 Ranee Avenue, Toronto, ON",2999999.0,5+1,7,3500-5000,6.0,7.0,4250.0,5,1
"204-45 Connaught Avenue, Toronto, ON",486000.0,1,2,500-599,1.0,2.0,550.0,1,0
"911-501 Yonge Street, Toronto, ON",499900.0,1,1,500-599,1.0,1.0,550.0,1,0
"403-45 Connaught Avenue, Toronto, ON",566000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1101-42 Charles Street E, Toronto, ON",665000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"102-45 Connaught Avenue, Toronto, ON",410000.0,1,2,0-499,1.0,2.0,250.0,1,0
"104-45 Connaught Avenue, Toronto, ON",551000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1005-327 King Street W, Toronto, ON",583900.0,1,1,0-499,1.0,1.0,250.0,1,0
"769 Euclid Avenue, Toronto, ON",1999999.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"232 Pacific Avenue, Toronto, ON",1789900.0,6+1,4,2000-2500,7.0,4.0,2250.0,6,1
"30 Lawnview Drive, Toronto, ON",1999800.0,4,2,1500-2000,4.0,2.0,1750.0,4,0
"312 Hendon Avenue, Toronto, ON",1498000.0,3+3,3,1500-2000,6.0,3.0,1750.0,3,3
"74 Garden Avenue, Toronto, ON",1199000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"52B Citation Drive, Toronto, ON",5198000.0,5+1,6,3500-5000,6.0,6.0,4250.0,5,1
"102-400 Mclevin Avenue, Toronto, ON",510000.0,2,2,900-999,2.0,2.0,950.0,2,0
"507-2 Rean Drive, Toronto, ON",519900.0,1,1,500-599,1.0,1.0,550.0,1,0
"1-110 Caledonia Park Road, Toronto, ON",799000.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"201-15 Mcmurrich Street, Toronto, ON",999000.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"#4307-1 King Street W, Toronto, ON",1499000.0,2,2,1800-1999,2.0,2.0,1900.0,2,0
"408-286 Main Street, Toronto, ON",699000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"30 Deerfield Road, Toronto, ON",978880.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"313-38 Forest Manor Road, Toronto, ON",620000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"405-342 Spadina Road, Toronto, ON",3350000.0,2+1,2,2500-2749,3.0,2.0,2624.0,2,1
"35 Montana Avenue, Toronto, ON",1488000.0,3+2,4,2500-3000,5.0,4.0,2750.0,3,2
"32 Bow Valley Drive, Toronto, ON",799900.0,3,1,700-1100,3.0,1.0,900.0,3,0
"21 Primrose Avenue, Toronto, ON",1925000.0,4,4,2000-2500,4.0,4.0,2250.0,4,0
"25 Branstone Road, Toronto, ON",999998.0,2+2,2,700-1100,4.0,2.0,900.0,2,2
"50A Lanark Avenue, Toronto, ON",1799000.0,7+2,5,1500-2000,9.0,5.0,1750.0,7,2
"109 Auburn Avenue, Toronto, ON",898000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"16 Macgregor Avenue, Toronto, ON",1389000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"237 Dundas Street E, Toronto, ON",3299888.0,3,4,3000-3500,3.0,4.0,3250.0,3,0
"68 Bellhaven Road, Toronto, ON",1489900.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"601-29 Camden Street, Toronto, ON",659000.0,1,1,700-799,1.0,1.0,750.0,1,0
"404-159 Dundas Street E, Toronto, ON",549000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"18 Tambrook Drive, Toronto, ON",1050000.0,3+1,4,1100-1500,4.0,4.0,1300.0,3,1
"505-80 Esther Lorrie Drive, Toronto, ON",615000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"262 Queensdale Avenue, Toronto, ON",1795000.0,4+1,4,1500-2000,5.0,4.0,1750.0,4,1
"479 Brownfield Gardens, Toronto, ON",1250000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"34 Elvina Gardens, Toronto, ON",1699000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"702-228 Queens Quay W, Toronto, ON",799000.0,2,2,900-999,2.0,2.0,950.0,2,0
"716-480 Mclevin Avenue, Toronto, ON",521000.0,2,2,800-899,2.0,2.0,850.0,2,0
"PH 4-131 Torresdale Avenue, Toronto, ON",639900.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"345-500 Kingbird Grove, Toronto, ON",600000.0,3+1,3,1200-1399,4.0,3.0,1300.0,3,1
"801-39 Sherbourne Street, Toronto, ON",449000.0,1,1,500-599,1.0,1.0,550.0,1,0
"3-85 Eastwood Park Gardens, Toronto, ON",825000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"204-42 Camden Street, Toronto, ON",949000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"208-12 Bonnycastle Street E, Toronto, ON",747000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"107 Alameda Avenue, Toronto, ON",2668000.0,4+1,5,2000-2500,5.0,5.0,2250.0,4,1
"201-280 Howland Avenue, Toronto, ON",1399000.0,2,3,1000-1199,2.0,3.0,1100.0,2,0
