address,price,beds,baths,sqft
"707-260 Scarlett Road, Toronto, ON",529900,1 ,1 ,700-799 
"24 College View Avenue, Toronto, ON",2999999,6+2 ,4 ,3500-5000 
"148 Balsam Avenue, Toronto, ON",4479000,4+2 ,4 ,2500-3000 
"47 Rayside Drive, Toronto, ON",1275000,3+2 ,2 ,1100-1500 
"61 Hurlingham Crescent, Toronto, ON",1988000,3+1 ,2 ,1500-2000 
"61 Sellers Avenue, Toronto, ON",1619900,3 ,2 ,1100-1500 
"107 SE-60 Princess Street, Toronto, ON",1359990,4+1 ,3 ,1400-1599 
"106 Willow Avenue, Toronto, ON",1499000,3+1 ,3 ,1100-1500 
"20 Elvina Gardens, Toronto, ON",1575000,3 ,2 ,1100-1500 
"56 Thirty Third Street, Toronto, ON",1999999,5 ,3 ,2000-2500 
"61 Shoredale Drive, Toronto, ON",1099000,3+3 ,4 ,1500-2000 
"50B Laburnham Avenue, Toronto, ON",1788000,4+2 ,4 ,1500-2000 
"3104-31 Sudbury Street, Toronto, ON",695000,2 ,1 ,800-899 
"14 Penhale Drive, Toronto, ON",5288000,4+1 ,5 ,3500-5000 
"3704-38 Grenville Street, Toronto, ON",1029000,2 ,2 ,900-999 
"105 SE-60 Princess Street, Toronto, ON",1209990,3+1 ,3 ,1200-1399 
"236-165 Cherokee Boulevard N, Toronto, ON",689000,4 ,2 ,1000-1199 
"68 August Avenue, Toronto, ON",849900,3 ,2 ,1100-1500 
"4 Maydolph Road, Toronto, ON",2629000,4+1 ,4 ,2500-3000 
"54 Homedale Drive, Toronto, ON",799000,4+1 ,3 ,2000-2500 
"204-39 Sherbourne Street, Toronto, ON",619000,1+1 ,1 ,700-799 
"7 Purchase Place, Toronto, ON",1100000,3 ,3 ,1500-2000 
"9 Granard Boulevard, Toronto, ON",1100000,3 ,2 ,700-1100 
"2007-20 Edward Street, Toronto, ON",898000,2 ,2 ,700-799 
"20 Wynnecastle Road, Toronto, ON",910000,3 ,3 ,1100-1500 
"6 Kingsdown Drive, Toronto, ON",939800,3+1 ,2 ,1500-2000 
"613-195 Mccaul Street, Toronto, ON",579900,1+1 ,1 ,500-599 
"832-251 Jarvis A Street, Toronto, ON",359000,1 ,1 ,0-499 
"136 Santa Barbara Road, Toronto, ON",2280000,3+1 ,4 ,1500-2000 
"1107-5 Soudan Avenue, Toronto, ON",849000,2 ,2 ,800-899 
"1106-350 Alton Towers Circle, Toronto, ON",575000,2+1 ,2 ,1000-1199 
"2310-135 East Liberty Street, Toronto, ON",699900,1 ,1 ,500-599 
"12-50 Three Valleys Drive, Toronto, ON",815000,3+1 ,2 ,1400-1599 
"24 Durie Street, Toronto, ON",2649000,4 ,5 ,2000-2500 
"42 Ecker Drive, Toronto, ON",1139000,3+1 ,2 ,700-1100 
"74 Cliff Street, Toronto, ON",899888,3+1 ,2 ,1100-1500 
"95 Great Oak Drive, Toronto, ON",3699000,4 ,5 ,3000-3500 
"12 Mortimer Avenue, Toronto, ON",1589000,4 ,2 ,1100-1500 
"1212 Dufferin Street, Toronto, ON",1750000,– ,– ,
"111-10 Parkway Forest Drive, Toronto, ON",525000,2 ,1 ,900-999 
"205-100 Dalhousie Street, Toronto, ON",489000,1 ,1 ,0-499 
"711-20 Olive Avenue, Toronto, ON",599800,2 ,1 ,700-799 
"1-34 Dundalk Drive, Toronto, ON",829000,3+1 ,3 ,1000-1199 
"118 Mulock Avenue, Toronto, ON",1149900,3 ,2 ,1100-1500 
"67 Chatsworth Drive, Toronto, ON",3750000,6+1 ,5 ,2500-3000 
"910-15 Greenview Avenue, Toronto, ON",499000,1 ,1 ,500-599 
"901-350 Mill Road, Toronto, ON",569900,1+1 ,2 ,800-899 
"1216-15 Vicora Link Way, Toronto, ON",549000,3 ,2 ,1200-1399 
"531 SE-60 Princess Street, Toronto, ON",549500,1 ,1 ,500-599 
"1004-5180 Yonge Street, Toronto, ON",569000,1 ,1 ,0-499 
"12 Forest Glen Crescent, Toronto, ON",9998000,6 ,7 ,5000 + 
"137 Blake Avenue, Toronto, ON",1800000,2+1 ,2 ,1100-1500 
"79 Talbot Road, Toronto, ON",1800000,2+1 ,2 ,1100-1500 
"197 Gamma Street, Toronto, ON",1198000,2+2 ,2 ,700-1100 
"135 Blake Avenue, Toronto, ON",1800000,3+1 ,2 ,< 700 
"139 Blake Avenue, Toronto, ON",1800000,3+1 ,2 ,1100-1500 
"77 Talbot Road, Toronto, ON",1800000,3 ,4 ,< 700 
"1130 Davenport Road, Toronto, ON",3290000,– ,– ,
"12 Summitcrest Drive, Toronto, ON",1099000,3+1 ,2 ,1500-2000 
"1502-15 Greenview Avenue, Toronto, ON",609900,1+1 ,1 ,600-699 
"702-118 Merchants' Wharf N/a, Toronto, ON",1749000,2+1 ,3 ,1200-1399 
"720-90 Broadview Avenue, Toronto, ON",698000,1+1 ,1 ,600-699 
"75 Talbot Road, Toronto, ON",1800000,3+1 ,2 ,< 700 
"2-15 Forbes Avenue, Toronto, ON",869900,3 ,2 ,1200-1399 
"25 Bamboo Grove, Toronto, ON",2388000,4+1 ,4 ,2000-2500 
"2333 Gerrard Street E, Toronto, ON",995000,3+3 ,1 ,1500-2000 
"6 Penwood Crescent, Toronto, ON",6199998,5+1 ,7 ,3500-5000 
"146 Ennerdale Road, Toronto, ON",1195000,3+1 ,2 ,1100-1500 
"1005-101 Charles Street E, Toronto, ON",599900,1 ,1 ,500-599 
"2205-25 Holly Street, Toronto, ON",579000,1+1 ,1 ,500-599 
"2901 Danforth Avenue, Toronto, ON",1360000,– ,– ,
"PH02-365 Church Street, Toronto, ON",535000,1 ,1 ,0-499 
"1133-68 Corporate Drive, Toronto, ON",589000,2+1 ,2 ,1000-1199 
"2502-62 Forest Manor Road, Toronto, ON",920000,2+1 ,2 ,1000-1199 
"22 Peterson Drive, Toronto, ON",788800,4 ,3 ,1100-1500 
"108 Sammon Avenue, Toronto, ON",2399000,4+2 ,5 ,2000-2500 
"PH06-151 Village Green Sq N/a, Toronto, ON",496000,1+1 ,1 ,500-599 
"601-118 Yorkville Avenue, Toronto, ON",7750000,4 ,6 ,5000 + 
"69 Robert Street, Toronto, ON",1510000,4+1 ,2 ,1500-2000 
"65 Oakhaven Drive, Toronto, ON",1138000,3+2 ,4 ,1100-1500 
"26 Mcmaster Avenue, Toronto, ON",3895000,3+1 ,5 ,3000-3500 
"2201-11 Charlotte Street, Toronto, ON",519000,1 ,1 ,500-599 
"318-1190 Dundas Street E, Toronto, ON",654000,1+1 ,1 ,600-699 
"82 Munro Boulevard, Toronto, ON",3998000,5+1 ,6 ,3500-5000 
"2366 Bloor Street W, Toronto, ON",4500000,– ,– ,
"2214-230 Simcoe Street, Toronto, ON",749000,2 ,2 ,700-799 
"1401-65 Harbour Square, Toronto, ON",1919000,2 ,2 ,1400-1599 
"522-230 King Street E, Toronto, ON",650000,2 ,1 ,700-799 
"261 Warden Avenue, Toronto, ON",799000,2+1 ,1 ,< 700 
"18 Bellman Avenue, Toronto, ON",2175000,4 ,5 ,2000-2500 
"12 Sonoma Way, Toronto, ON",1197000,3+1 ,4 ,1500-2000 
"4444 Bathurst Street, Toronto, ON",1099999,3 ,3 ,1500-2000 
"82 Northwood Drive, Toronto, ON",1625000,3+1 ,2 ,1100-1500 
"268 Euclid Avenue, Toronto, ON",3450000,4+1 ,5 ,2000-2500 
"1503-11 Lillian Street, Toronto, ON",589000,1+1 ,2 ,500-599 
"526 Coldstream Avenue, Toronto, ON",2749000,6+2 ,8 ,3500-5000 
"90 Deanvar Avenue, Toronto, ON",1249000,3+2 ,2 ,1100-1500 
"522 Roselawn Avenue, Toronto, ON",2135000,3+1 ,3 ,1100-1500 
"1128 Roselawn Avenue, Toronto, ON",999000,3 ,2 ,700-1100 
"194 Lee Avenue, Toronto, ON",2299000,4+1 ,5 ,2000-2500 
"2108-22 Wellesley Street E, Toronto, ON",788000,2 ,2 ,900-999 
"1610-10 Park Lawn Road, Toronto, ON",799000,2+1 ,2 ,800-899 
"307-1238 Dundas Street E, Toronto, ON",729900,2 ,2 ,700-799 
"2204-11 Yorkville Avenue, Toronto, ON",819900,1 ,1 ,500-599 
"808-225 Sumach Street, Toronto, ON",579900,1+1 ,1 ,500-599 
"11 Flamingo Crescent, Toronto, ON",1249000,3+1 ,2 ,700-1100 
"451 Staines Road E, Toronto, ON",1349999,4+3 ,5 ,2000-2500 
"261 Glebemount Avenue, Toronto, ON",998800,3+1 ,3 ,700-1100 
"522 B Birchmount Road, Toronto, ON",998000,3+1 ,4 ,1500-2000 
"690 Adelaide Street W, Toronto, ON",999000,3 ,1 ,700-1100 
"210 Gowan Avenue, Toronto, ON",995000,2+2 ,2 ,1100-1500 
"502-549 King Street E, Toronto, ON",505000,1 ,1 ,500-599 
"2501-218 Queens Quay W, Toronto, ON",869000,2 ,2 ,900-999 
"415-39 Queens Quay E, Toronto, ON",759000,1+1 ,1 ,700-799 
"2712-15 Holmes Avenue, Toronto, ON",748000,1+1 ,2 ,600-699 
"2102-15 Legion Road, Toronto, ON",638888,2 ,1 ,700-799 
"4608-101 Charles Street E, Toronto, ON",758000,1+1 ,1 ,700-799 
"376 O'connor Drive, Toronto, ON",1999000,3+1 ,5 ,2500-3000 
"288 Newton Drive, Toronto, ON",1549000,4 ,3 ,2000-2500 
"47 Combe Avenue, Toronto, ON",1198000,3+1 ,2 ,700-1100 
"118 Betty Ann Drive, Toronto, ON",2149000,4+1 ,2 ,1500-2000 
"3306-88 Harbour Street, Toronto, ON",650000,1 ,1 ,500-599 
"16-47 Lexington Avenue, Toronto, ON",729900,3+1 ,2 ,1400-1599 
"701-40 Bay Mills Boulevard, Toronto, ON",399000,1 ,1 ,700-799 
"406-30 Roehampton Avenue, Toronto, ON",535800,1 ,1 ,500-599 
"401-59 East Liberty Street, Toronto, ON",589000,1 ,1 ,600-699 
"24 Harriet Street, Toronto, ON",1599000,3 ,4 ,1500-2000 
"999 Dufferin Street, Toronto, ON",1650000,4 ,3 ,1500-2000 
"706-158 Front Street E, Toronto, ON",499000,1 ,1 ,500-599 
"708-50 Camden Street, Toronto, ON",559000,1 ,1 ,500-599 
"309-39 Brant Street, Toronto, ON",549000,1 ,1 ,500-599 
"11 Adelpha Drive, Toronto, ON",2187000,3+2 ,4 ,1500-2000 
"506-105 Mccaul Street, Toronto, ON",399900,1 ,1 ,0-499 
"603-23 Glebe Road W, Toronto, ON",830000,2 ,2 ,700-799 
"65 Aileen Avenue, Toronto, ON",1399999,3+1 ,5 ,1500-2000 
"307-3 Rean Drive, Toronto, ON",518880,1 ,1 ,500-599 
"305-160 Frederick Street, Toronto, ON",1599000,2+1 ,2 ,2000-2249 
"1727-250 Wellington Street W, Toronto, ON",599888,1+1 ,1 ,5000 + 
"43 Rusholme Road, Toronto, ON",2699900,4+1 ,4 ,3500-5000 
"1206-509 Beecroft Road, Toronto, ON",510000,1 ,1 ,600-699 
"24 Model Avenue, Toronto, ON",2149995,4+1 ,4 ,2500-3000 
"510-33 Sheppard Avenue E, Toronto, ON",748000,2 ,2 ,1000-1199 
"1404-18 Yorkville Avenue, Toronto, ON",649800,1 ,1 ,0-499 
"25B Lascelles Boulevard, Toronto, ON",3595000,4 ,5 ,2750-2999 
"3005-195 Redpath Avenue, Toronto, ON",569000,1+1 ,2 ,600-699 
"2915-955 Bay Street, Toronto, ON",548888,– ,1 ,0-499 
"41 Cliffside Drive, Toronto, ON",1399900,3 ,3 ,1500-2000 
"40 Fletcher Place, Toronto, ON",888888,3+1 ,2 ,1100-1500 
"22 Birchcroft Road, Toronto, ON",4398000,4+1 ,6 ,3500-5000 
"1601-3559 Eglinton Avenue W, Toronto, ON",429900,2 ,1 ,700-799 
"1207-1403 Royal York Road, Toronto, ON",659999,2 ,2 ,800-899 
"2106-1 Palace Pier Court, Toronto, ON",1599000,2 ,3 ,1800-1999 
"2402-60 Town Centre Court, Toronto, ON",589900,2 ,1 ,600-699 
"3211-36 Zorra Street, Toronto, ON",499000,1 ,1 ,0-499 
"106-8825 Sheppard Avenue E, Toronto, ON",629800,2+1 ,2 ,900-999 
"2503-255 Village Green Square, Toronto, ON",638000,2 ,2 ,700-799 
"903-90 Glen Everest Road S, Toronto, ON",549999,2 ,2 ,700-799 
"6509-100 Harbour Street S, Toronto, ON",748000,2 ,1 ,600-699 
"134 Helendale Avenue, Toronto, ON",1499888,3+1 ,3 ,1100-1500 
"2934 Weston Road, Toronto, ON",1550000,4+2 ,2 ,1100-1500 
"1002-25 Broadway Avenue, Toronto, ON",1299000,2+1 ,2 ,1000-1199 
"620 O'connor Drive, Toronto, ON",899000,3+1 ,2 ,1500-2000 
"2383 Weston Road, Toronto, ON",999999,3+2 ,3 ,1100-1500 
"21 Lorindale Avenue, Toronto, ON",1798000,3 ,2 ,1100-1500 
"21 Rossander Court, Toronto, ON",998900,3+3 ,2 ,1100-1500 
"578 Durie Street, Toronto, ON",1789000,5 ,3 ,1500-2000 
"302-45 Dovercourt Road, Toronto, ON",1175000,1+1 ,2 ,1000-1199 
"1902-30 Canterbury Place, Toronto, ON",625000,2 ,1 ,700-799 
"484 Drewry Avenue, Toronto, ON",1329000,3+4 ,3 ,700-1100 
"14 Brynhurst Court, Toronto, ON",2349000,3 ,4 ,1500-2000 
"385 Kipling Avenue, Toronto, ON",919900,3+1 ,2 ,1100-1500 
"5507-181 Dundas Street E, Toronto, ON",515000,1 ,1 ,0-499 
"1004-95 La Rose Avenue, Toronto, ON",610000,2 ,2 ,1000-1199 
"608-68 Merton Street W, Toronto, ON",510000,1 ,1 ,500-599 
"1307-51 Trolley Crescent, Toronto, ON",399000,1 ,1 ,0-499 
"2904-5 St Joseph Street, Toronto, ON",619000,1+1 ,1 ,600-699 
"303-90 Trinity Street, Toronto, ON",499000,1 ,1 ,500-599 
"105-10 Meadowglen Place, Toronto, ON",695900,3 ,2 ,1000-1199 
"PH 806-301 Markham Street, Toronto, ON",839900,1 ,2 ,800-899 
"809-550 Queens Quay W, Toronto, ON",744999,2 ,2 ,700-799 
"626-20 O'neill Road, Toronto, ON",829000,2+1 ,2 ,800-899 
"1512-1100 Sheppard Avenue W, Toronto, ON",685000,3 ,2 ,800-899 
"58 Flintridge Road, Toronto, ON",1050000,3+2 ,2 ,700-1100 
"536 Euclid Avenue, Toronto, ON",,— ,— ,— 
"1101-1100 Sheppard Avenue W, Toronto, ON",590000,2 ,2 ,700-799 
"907-10 Meadowglen Place, Toronto, ON",687000,3 ,2 ,900-999 
"M1-539 Jarvis Street, Toronto, ON",599000,1 ,1 ,700-799 
"718-425 Front Street E, Toronto, ON",749000,2+1 ,2 ,700-799 
"225-1173 Dundas Street E, Toronto, ON",1595000,2+1 ,2 ,2000-2249 
"PH02-10 Meadowglen Place, Toronto, ON",639000,2 ,2 ,600-699 
"119 Sherwood Avenue, Toronto, ON",2249000,3+1 ,3 ,2000-2500 
"32 Marsh Road, Toronto, ON",769000,2+1 ,1 ,700-1100 
"1804-15 Legion Road, Toronto, ON",754000,2 ,2 ,900-999 
"2302-825 Church Street, Toronto, ON",890000,2+1 ,2 ,800-899 
"138-21 Dale Avenue, Toronto, ON",1295000,2+1 ,2 ,1200-1399 
"88 Yonge Boulevard, Toronto, ON",3848000,4+1 ,5 ,3000-3500 
"24 Brookfield Street, Toronto, ON",1250000,3 ,2 ,1100-1500 
"82 Sexton Crescent, Toronto, ON",1235000,3+2 ,2 ,1500-2000 
"143 Norton Avenue, Toronto, ON",2999000,4+1 ,5 ,2500-3000 
"4022 Bloor Street W, Toronto, ON",1649000,3+1 ,3 ,1500-2000 
"20A Woodlawn Avenue, Toronto, ON",7349000,2+1 ,4 ,3000-3500 
"219-1 Leaside Park Drive, Toronto, ON",465000,1 ,1 ,700-799 
"1607-25 Silver Springs Boulevard, Toronto, ON",559000,3 ,2 ,1200-1399 
"1616-195 Redpath Avenue, Toronto, ON",494999,1+1 ,1 ,500-599 
"802-155 St Clair Avenue, Toronto, ON",2895000,2 ,2 ,1800-1999 
"215 Milan Street, Toronto, ON",999000,3 ,2 ,1100-1500 
"1116-525 Adelaide Street W, Toronto, ON",949000,3 ,2 ,1000-1199 
"512-2720 Dundas Street W, Toronto, ON",595000,1 ,1 ,500-599 
"199-10 Lloyd Janes Lane, Toronto, ON",888888,3 ,3 ,1200-1399 
"882 Coxwell Avenue, Toronto, ON",1099900,3 ,2 ,1100-1500 
"2007-88 Grangeway Avenue, Toronto, ON",585000,2 ,2 ,800-899 
"78 Lawrence Avenue W, Toronto, ON",1249000,2 ,1 ,700-1100 
"1680 St Clair Avenue W, Toronto, ON",999000,– ,4 ,
"3701-1928 Lake Shore Boulevard W, Toronto, ON",619900,1+1 ,2 ,600-699 
"2208-501 Yonge Street, Toronto, ON",598000,1+1 ,1 ,0-499 
"TH107-6 Parkwood Avenue, Toronto, ON",1558000,2+1 ,3 ,1200-1399 
"76 Laburnham Avenue, Toronto, ON",899900,2+2 ,2 ,700-1100 
"52 Frankdale Avenue, Toronto, ON",1398000,3 ,2 ,1100-1500 
"2706-15 Greenview Avenue, Toronto, ON",899900,2+1 ,2 ,1000-1199 
"1401-65 St Mary Street, Toronto, ON",725000,1 ,1 ,500-599 
"242 Braymore Boulevard, Toronto, ON",950000,3+1 ,3 ,1100-1500 
"245 Ranleigh Avenue, Toronto, ON",2188000,4+2 ,4 ,2000-2500 
"88 Wickson Trail, Toronto, ON",899999,3+1 ,2 ,1100-1500 
"514-3391 Bloor Street W, Toronto, ON",519900,1+1 ,1 ,600-699 
"104 Farm Greenway N/a, Toronto, ON",775000,3 ,2 ,1200-1399 
"3808-403 Church Street, Toronto, ON",799900,2 ,1 ,600-699 
"851 Huntingwood Drive, Toronto, ON",1388000,3 ,4 ,1500-2000 
"3707-4968 Yonge Street, Toronto, ON",599000,1+1 ,1 ,600-699 
"2209-125 Peter Street, Toronto, ON",780000,2 ,1 ,600-699 
"315-18 Holmes Avenue, Toronto, ON",525000,1+1 ,1 ,600-699 
"1904-225 Village Green Square, Toronto, ON",495000,1+1 ,1 ,500-599 
"622-98 Lillian Street, Toronto, ON",688000,1+1 ,2 ,600-699 
"4708-65 Bremner Boulevard, Toronto, ON",1100000,2 ,2 ,1000-1199 
"2801-21 Balmuto Street, Toronto, ON",849000,2 ,2 ,700-799 
"905-955 Bay Street, Toronto, ON",838800,2 ,2 ,700-799 
"178 Northwood Drive, Toronto, ON",2098000,3+1 ,2 ,700-1100 
"295 Adelaide St Street W, Toronto, ON",699999,1+1 ,1 ,0-499 
"PH507-38 Lee Centre Drive, Toronto, ON",,— ,— ,— 
"2577 Kennedy Road, Toronto, ON",1299000,3 ,2 ,2500-3000 
"731-26 Gibbs Road, Toronto, ON",489000,1 ,1 ,0-499 
"101A,102A,17-4438 Sheppard Avenue E, Toronto, ON",1988000,– ,– ,16-30 years old
"16 Pat Brooks Terrace, Toronto, ON",799000,3+1 ,4 ,1800-1999 
"35 Benshire Drive, Toronto, ON",699000,3+1 ,1 ,700-1100 
"35 Hartland Road, Toronto, ON",1098000,3 ,2 ,1100-1500 
"251 Kennedy Road, Toronto, ON",2499999,4+2 ,6 ,3000-3500 
"72 Fusilier Drive, Toronto, ON",950000,3+1 ,3 ,1500-2000 
"95-10 Livonia Place, Toronto, ON",500000,3 ,3 ,1200-1399 
"804-1201 Steeles Avenue W, Toronto, ON",559000,2 ,2 ,1200-1399 
"10 Inn On The Park Drive, Toronto, ON",960000,2 ,2 ,
"10-22 Pauline Avenue, Toronto, ON",12950000,– ,– ,
"1107-75 Canterbury Place, Toronto, ON",649000,2 ,2 ,700-799 
"3123-28 Widmer Street, Toronto, ON",693000,2 ,2 ,700-799 
"4104-56 Annie Craig Drive, Toronto, ON",769990,2 ,2 ,700-799 
"502-77 Harbour Square, Toronto, ON",999900,2 ,2 ,1000-1199 
"2727-28 Widmer Street, Toronto, ON",642000,2 ,2 ,600-699 
"311-205 Sherway Gardens Road E, Toronto, ON",499999,1 ,1 ,600-699 
"2721-28 Widmer Street, Toronto, ON",485000,1 ,1 ,500-599 
"210-55 Rameau Drive, Toronto, ON",799000,3+1 ,2 ,1200-1399 
"904-78 Tecumseth Street, Toronto, ON",699900,1+1 ,1 ,600-699 
"805-2 Forest Hill Road, Toronto, ON",2199000,1+1 ,2 ,1000-1199 
"1402-3091 Dufferin Street, Toronto, ON",499999,1 ,1 ,500-599 
"515-60 Byng Avenue, Toronto, ON",537999,1+1 ,1 ,600-699 
"203-28 Avondale Avenue, Toronto, ON",529000,1+1 ,1 ,500-599 
"124-75 Turntable Crescent, Toronto, ON",729000,3 ,2 ,1000-1199 
"318-478 King Street W, Toronto, ON",389900,– ,1 ,0-499 
"338B Horsham Avenue, Toronto, ON",2788000,4+1 ,5 ,2000-2500 
"42 Fordwich Crescent, Toronto, ON",999999,3+1 ,2 ,1500-2000 
"87 Lavington Drive, Toronto, ON",1549000,4 ,4 ,2500-3000 
"3010-25 Capreol Court, Toronto, ON",899900,2+1 ,2 ,900-999 
"97 Chelliah Court, Toronto, ON",1499900,4+2 ,4 ,2000-2500 
"905-138 Downes Street, Toronto, ON",679900,1+1 ,1 ,600-699 
"10 Pastrano Court, Toronto, ON",1049999,3+5 ,2 ,700-1100 
"54 Hartley Avenue, Toronto, ON",1099000,4+1 ,3 ,1500-2000 
"476 King Street E, Toronto, ON",1629900,3+1 ,4 ,1500-2000 
"101-530 Indian Grove, Toronto, ON",1138000,2 ,3 ,1000-1199 
"1315-158 Front Street E, Toronto, ON",589000,1 ,1 ,500-599 
"5308-70 Annie Craig Drive, Toronto, ON",549990,1 ,1 ,500-599 
"4511-295 Adelaide Street W, Toronto, ON",549000,1 ,1 ,500-599 
"2004-10 Inn On The Park Drive, Toronto, ON",960000,2 ,2 ,900-999 
"311-10 Mendelssohn Street, Toronto, ON",499900,2 ,2 ,700-799 
"3500 Brimley Road Th 7 N/a, Toronto, ON",880000,3+1 ,2 ,1200-1399 
"LPH14-2083 Lake Shore Boulevard W, Toronto, ON",658000,1+1 ,1 ,700-799 
"209-8 Dovercourt Road, Toronto, ON",,— ,— ,— 
"73 Dunelm Street, Toronto, ON",899900,3+1 ,2 ,700-1100 
"102-16 Mcadam Avenue, Toronto, ON",776000,– ,– ,0-5 years old
"814-15 Vicora Linkway N/a, Toronto, ON",529000,3 ,2 ,1200-1399 
"1902-43 Eglinton Avenue E, Toronto, ON",765000,2+1 ,2 ,1000-1199 
"3601-12 York Street, Toronto, ON",539900,1 ,1 ,500-599 
"64 Alexmuir Boulevard, Toronto, ON",1160000,4+2 ,3 ,2000-2500 
"23 Rothmere Drive, Toronto, ON",2799000,3+2 ,3 ,1500-2000 
"1214 & 1216 Avenue Road, Toronto, ON",2495000,8+2 ,4 ,3500-5000 
"29 Gustav Crescent, Toronto, ON",1900000,3+2 ,4 ,1500-2000 
"1319-2885 Bayview Avenue, Toronto, ON",450000,– ,1 ,500-599 
"102 Elnathan Crescent, Toronto, ON",960000,4 ,3 ,1100-1500 
"818-1029 King Street W, Toronto, ON",748888,1+1 ,2 ,800-899 
"903-2015 Sheppard Avenue, Toronto, ON",519000,1+1 ,1 ,600-699 
"1232-125 Omni Drive, Toronto, ON",475000,1+1 ,1 ,600-699 
"PH3-1730 Eglinton Avenue E, Toronto, ON",,— ,— ,— 
"704-284 Bloor Street W, Toronto, ON",728000,2 ,1 ,600-699 
"24 Marion Street, Toronto, ON",1345000,2+1 ,2 ,1100-1500 
"109-145 Canon Jackson Drive, Toronto, ON",513900,1 ,1 ,500-599 
"405-8 Tippett Road, Toronto, ON",409000,1 ,1 ,0-499 
"PH7-8 Wellesley Street E, Toronto, ON",1399000,2+1 ,2 ,1400-1599 
"C-276 Lanor Avenue, Toronto, ON",1225000,3+1 ,3 ,1600-1799 
"B-276 Lanor Avenue, Toronto, ON",1191000,3 ,3 ,1400-1599 
"276 Lanor Avenue, Toronto, ON",4832000,12+2 ,12 ,4500-4749 
"D-276 Lanor Avenue, Toronto, ON",1225000,3+1 ,3 ,1600-1799 
"66 Charles Street E, Toronto, ON",4000000,office,,
"89 Bernard Avenue, Toronto, ON",,— ,— ,— 
"207-485 Logan Avenue S, Toronto, ON",899000,2 ,2 ,1000-1199 
"A-276 Lanor Avenue, Toronto, ON",1191000,3 ,3 ,1400-1599 
"2205-1 Massey Square, Toronto, ON",590000,3 ,2 ,1200-1399 
"1108-3845 Lake Shore Boulevard W, Toronto, ON",699000,2 ,1 ,900-999 
"1609-55 Cooper Street, Toronto, ON",669000,1+1 ,1 ,600-699 
"7 Greening Crescent, Toronto, ON",1750000,3 ,2 ,700-1100 
"42 Nugent Road, Toronto, ON",949900,3 ,2 ,1100-1500 
"42 Fintona Avenue, Toronto, ON",995000,3+1 ,2 ,1100-1500 
"1106-1700 Eglinton Avenue E, Toronto, ON",625000,2 ,2 ,900-999 
"402-50 Ordnance Street, Toronto, ON",799000,2+1 ,2 ,900-999 
"312-77 Maitland Place, Toronto, ON",599900,1 ,1 ,700-799 
"607-25 Baseball Place, Toronto, ON",729999,2+1 ,2 ,700-799 
"501-468 Wellington Street, Toronto, ON",6950000,3 ,4 ,5000 + 
"TH #114-262 St. Helens Avenue, Toronto, ON",849900,3 ,2 ,1000-1199 
"1207-125 Blue Jays Way, Toronto, ON",469000,1 ,1 ,500-599 
"606-319 Jarvis Street, Toronto, ON",489000,1+1 ,1 ,500-599 
"42A Elmer Avenue, Toronto, ON",3179000,4+1 ,5 ,2500-3000 
"217 Hillcrest Avenue, Toronto, ON",3188000,4+2 ,7 ,3500-5000 
"1078-100 Mornelle Court, Toronto, ON",499900,2+1 ,2 ,1200-1399 
"2103-1166 Bay Street, Toronto, ON",2795000,2 ,2 ,2000-2249 
"344-36 Via Bagnato N/a, Toronto, ON",739900,2+1 ,2 ,900-999 
"1808-131 Torresdale Avenue, Toronto, ON",679900,2+1 ,2 ,1400-1599 
"7-2179C Weston Road, Toronto, ON",910000,3 ,4 ,2173 
"7-2179 Weston Road, Toronto, ON",910000,3 ,4 ,
"176 Golfview Avenue, Toronto, ON",,— ,— ,— 
"22-44 Chester Le Boulevard, Toronto, ON",750000,4+1 ,3 ,1200-1399 
"2010-8 Park Road, Toronto, ON",849900,2 ,2 ,900-999 
"199 Sweeney Drive, Toronto, ON",,— ,— ,— 
"235 Bain Avenue, Toronto, ON",1499000,3+1 ,3 ,1500-2000 
"740-38 Iannuzzi Street, Toronto, ON",,— ,— ,— 
"306-1387 Bayview Avenue E, Toronto, ON",469000,1+1 ,1 ,700-799 
"3631 Dundas Street W, Toronto, ON",2690000,6 ,10 ,3500-5000 
"519 Glencairn Avenue, Toronto, ON",1299000,– ,– ,< 700 
"21 Snowshoe Mill Way, Toronto, ON",999000,4+1 ,3 ,1600-1799 
"2031 Davenport Road, Toronto, ON",969900,3+2 ,4 ,1500-2000 
"3306-87 Peter Street, Toronto, ON",549000,1 ,1 ,500-599 
"104-140 Ling Road, Toronto, ON",519000,2+1 ,1 ,900-999 
"1101-238 Doris Avenue, Toronto, ON",549800,1 ,1 ,600-699 
"132 Harbord Street, Toronto, ON",5199000,– ,– ,
"3810- 3812 Bloor Street W, Toronto, ON",4895000,– ,– ,
"3810- 3812 Bloor Street W, Toronto, ON",4895000,– ,– ,
"70 Oriole Road, Toronto, ON",4988000,4+1 ,5 ,3500-5000 
"418-35 Brian Peck Crescent, Toronto, ON",819000,2+1 ,2 ,900-999 
"N419-120 Bayview Avenue, Toronto, ON",1069900,2+1 ,2 ,1000-1199 
"207-75 Canterbury Place, Toronto, ON",938000,2+1 ,2 ,900-999 
"A504-1555 Avenue Road, Toronto, ON",1099000,3+1 ,3 ,1200-1399 
"7-2179C Weston Road E, Toronto, ON",910000,3+1 ,4 ,2000-2500 
