address,price,beds,baths,sqft
"2309-2285 Lake Shore Boulevard W, Toronto, ON",535000,1 ,1 ,600-699 
"3703-81 Navy Wharf Court, Toronto, ON",999888,2+1 ,2 ,1000-1199 
"285 Robina Avenue, Toronto, ON",849000,2 ,2 ,700-1100 
"115 Gladstone Avenue, Toronto, ON",1995000,5 ,5 ,2500-3000 
"500 Dufferin Street, Toronto, ON",1225000,3 ,2 ,1100-1500 
"29 Charnwood Road, Toronto, ON",2659000,4+1 ,5 ,2000-2500 
"703-327 King Street W, Toronto, ON",683777,1 ,1 ,500-599 
"1101-900 Yonge Street, Toronto, ON",849000,1 ,2 ,1400-1599 
"PH103-138 Downes Street, Toronto, ON",1139900,2 ,2 ,700-799 
"3211-215 Fort York Boulevard, Toronto, ON",729900,2 ,1 ,600-699 
"6 Queenscourt Drive, Toronto, ON",1398000,4+1 ,4 ,1500-2000 
"5102-108 Peter Street, Toronto, ON",,— ,— ,— 
"702-181 Dundas Street E, Toronto, ON",499990,1+1 ,1 ,500-599 
"107 Pembroke Street, Toronto, ON",1250000,– ,4 ,100+ years old
"130 Lindsey Avenue, Toronto, ON",999900,2+1 ,2 ,1100-1500 
"1511-15 Baseball Place, Toronto, ON",509900,1+1 ,1 ,500-599 
"13-1599 Bathurst Street, Toronto, ON",749000,2+2 ,1 ,1000-1199 
"704-1900 Lake Shore Boulevard W, Toronto, ON",499888,1 ,1 ,0-499 
"514-525 Adelaide Street W, Toronto, ON",719000,2 ,2 ,700-799 
"9A Sylvan Avenue, Toronto, ON",1649000,3+1 ,4 ,2000-2249 
"1106-757 Victoria Pk Avenue, Toronto, ON",609000,2 ,2 ,1400-1599 
"206-356 Mcrae Drive, Toronto, ON",575000,1 ,1 ,800-899 
"#224-95 Prince Arthur Avenue, Toronto, ON",,— ,— ,— 
"2302-155 Legion Road N, Toronto, ON",649900,1+1 ,2 ,900-999 
"403-15 Queens Quay E, Toronto, ON",673000,1+1 ,1 ,500-599 
